Date,Author,Content,URL,Rating,Language
2024-04-14,Robert L,"I’ve seen and visited several Michelin star rated restaurants in my life, but De Liberije (together with El Bulli, unfortunately closed for business) is by far thé best restaurant I’ve ever had the privilege to visit. It’s sounds cliche but De Liberije really is of the best, if not, thé best culinary journey I’ve ever experienced.",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r946701047-De_Librije-Zwolle_Overijssel_Province.html,5,en
2023-06-05,Rene B,"Everything is 3 star Michelin worthy. The food, staff, wines…not one complaint to find. Maybe one thing. The kitchen is a bit too sour for me. Everything has something sour in it. The rooms need an update to my opinion. But for the rest… it’s an incredible achievement to run this place for years in the the top in Europe. Chapeau!",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r893510144-De_Librije-Zwolle_Overijssel_Province.html,5,en
2023-03-01,Paul B,"Top top top you are the real guest with excellent food and service the entrance was superb, real warm welcome we had a small issue , which was solved promptly the food was the way it should be in a 3 star restaurant   the wines was payable and excellent , a compliment to the sommelier",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r880616459-De_Librije-Zwolle_Overijssel_Province.html,5,en
2023-02-18,wolffman1973,"This is the best food I have eaten in my life. Great service, lovely atmosphere and well chosen wines, but the perfection is in the food. We celebrated my birthday here with two vegetarian menu’s and were amazed. We loved the pumpkin that tasted like salmon, the magic of watermelon tartare and an amazing gado gado dessert. Magic!",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r879208637-De_Librije-Zwolle_Overijssel_Province.html,5,en
2022-07-29,Rolf van der Pol,"Lovely setting, friendly staff, all dishes (close to) perfect and yet. We had perhaps in total 20 little dishes with all at least 5 ingredients prepared 3 different ways in 3 hours time (lunch). It's all just too much so there's not 1 dish that stood out, not 1 experience that we can remember.  What we will remember is the hostess in a way too tight outfit who we haven't seen smiling one time. The staff kept walking around, we liked the seating which is informal and facing the center of the courtyard (we sat next to each other which was very cozy and pleasant) , service was great, but cutlery was not always clean.  An experience definitely and we wouldn't want to have missed it (not even for 250 euro pp without drinks) but there's no 1 dish we will remember and we probably won't go back...   oh and parking an electric car in the vicinity... the car park with 400 lotz in total has only 2 for electric cars...",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r850739637-De_Librije-Zwolle_Overijssel_Province.html,3,en
2021-11-27,Chris D,"We had issues with hygiene. Both in the restaurant (dirty dishes/glasses) and in the restrooms. Definitely not what you would expect in a 3 star restaurant. If you are dining as a couple at the Librije you are seated next to each other but the tables are more or less in a circle so you all end up staring at each other. Food was good but not always warm by the time it gets to the table. Again, not a 3 Michelin star experience.",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r820245040-De_Librije-Zwolle_Overijssel_Province.html,2,en
2021-03-14,R. K. V.,"Exceptional even for takeaway.  Highest quality ingredients, very tasty dishes and very reasonable value for the money",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r784511104-De_Librije-Zwolle_Overijssel_Province.html,5,en
2020-09-27,Raymond M,"Business lunch should always be like this...  This is probably the worlds most accessible three star Michelin restaurant. Very casual, very down to earth accessible with mind-blowing dishes with lots of thought, techniques and presentation both very old school and quite new school. Skill is not used for the sake of skill but to deliver the sensation, the experience and the emotion. Most memorable are the ‘ Broodje Paling’ and the ‘ Hunnebedden’. About the former: Based on local cuisine, the chefs personal taste, old technique, some table-side cooking and a very original cocktail this is a unique amalgation of both haute cuisine , Dutch Cucina Povere and originality. A very thought provoking take on eal sandwich. For me, this is Dutch culture at it’s best: Bravo! Concerning ‘ Hunnebedden’: The young chef responsible for this dish deserves praise; this dish is a reimagination of ‘Desert’. Describing it does not do any justice to the experience. Surprise, wonder, reward comes to mind. Highly recommended.",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r772077372-De_Librije-Zwolle_Overijssel_Province.html,5,en
2020-07-19,Gilby,"Without doubt great food, inventive, beautifully presented, tasty and where possible local. After so many years it is still  true 3 star quality. Service good but not exceptional, no soul. Wine list is good but by no way the best in the Netherlands. What is absolutely horrible is the interior of the restaurant, expensive for sure but a boudoir has usually better taste.",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r760716565-De_Librije-Zwolle_Overijssel_Province.html,5,en
2020-02-15,FransHeijmans,"You know that you're going to a 3 Michelin star restaurant, so what to expect? we've been to 1 and 2 star restaurants and there are differences but these are not spectacular. And than you visit the Librije....Wow, what an experience! From the welcome when you check in. till the check out next day, you are pampered and there is nothing to worry about. The dinner is simply the best we ever had. All plates, beautifully set and accompanied with great wines, a feast for the eye and the mouth. We'll be back!!",https://www.tripadvisor.com/ShowUserReviews-g188611-d748025-r745190811-De_Librije-Zwolle_Overijssel_Province.html,5,en
