sample_index,index,original_review,char_count,Date,Author,URL,Rating,Language
1,166,"I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.  Some of the staff were very friendly and some were just rushed and not very attentive.  When the food started coming it was pretty disappointing. Out of 14 courses I really only loved 6.5 of them. The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.  I really don't understand how they managed to get and retain three stars.  I can't recommend this place unless you're rich and cost doesn't matter much to you.",494,2023-08-12,Connor M,https://www.tripadvisor.com/ShowUserReviews-g190479-d2447055-r909829411-Maaemo-Oslo_Eastern_Norway.html,2,en
2,1090," We had a very good dinner, however not one star experience (this is why rated it with 3).  The chef offer at the beginning was with neutral taste,  Best plate from the entree is the egg with black truffe (highly recommended).  The bread was very good and the same was the beef as main plate (very good grilled with a delicious sauce). Good selection of wines and the ones we were served with the menu were really good, especially the white one (Riesling Alcase 2016).   The cheese at the end was average. as it was grated cheese, where the taste was lost.  Good service.  Priced as 1star, Yet not at this level.  ",472,2018-02-03,Belangelie,https://www.tripadvisor.com/ShowUserReviews-g196497-d15014147-r558183901-Thierry_Schwartz_Le_Restaurant-Obernai_Bas_Rhin_Grand_Est.html,3,en
3,775,"We were wecomely received and were told to 'feel at home'. We enjoyed the delights of creative and innovative cuisine of the 8 course menu along with the wine pairings. All of the service staff were friendly and professional. The courses were very pleasing to the eye and a sensation on the palate. Several courses were served as two separate dishes. The sommelier remembered comments and altered the following wines accordlingly. We arrived at 6:30 pm and left after 11 pm. An amazing evening from start to finish. Definitely a luxury, but for a special occasion well worth it. Thank you so much!",481,2020-10-01,tassieBerlin,https://www.tripadvisor.com/ShowUserReviews-g187323-d718320-r772642435-Rutz_Restaurant_Weinbar-Berlin.html,5,en
4,1156,"Amazing one- star food based on Norwegian products!! We strongly recommend it if you’re visiting Oslo and you want to celebrate something special :)   The prices of the food menu are reasonable comparing to any other restaurant in Oslo with normal food…the prices only double those, but Kontrast quality is much better than double :) (just to say something, the drinks prices are quite high, as in every Michelin restaurant)  The place is super nice, you feel really comfortable and the service is excellent! As they notice that we were Spanish they told an Spanish waiter to come to our table and explain all the dishes to us :)  WE LOVED IT!!!!!",509,2021-08-28,alejandra d,https://www.tripadvisor.com/ShowUserReviews-g190479-d5551804-r806812619-Restaurant_Kontrast-Oslo_Eastern_Norway.html,5,en
5,395,"A complicated menu with some of the offerings not available. The place is extremely overpriced for what they offer - olives soaked in olive oil with a weak ""citrus"" condiment; oysters on the half shell with possibly the most boring sauce ever (green mamão vinagrete), raviolis no better than anything you'd get at Eataly, meat you could do yourself at home, pork with lots of fat in it - the Chef's ego is bigger than his creations. I will never return, service was weak and they suggested 14% when standard tips in São Paulo are 10%. Impossible to rate this experience above average and if you reserve and don't show up, he'll charge you. There are literally hundreds of better places in the city. Nothing of this experience was memorable.",585,2021-11-28,Whissely,https://www.tripadvisor.com/ShowUserReviews-g303631-d6958658-r820373640-Tuju-Sao_Paulo_State_of_Sao_Paulo.html,3,en
6,892,"On the one hand, from the side such as food, it is fine for me even if there is no any connection between every dish ,but after asking the chef I notice that they want this, therefore it is fine. On the other, the waitress is good and the chef or people working at the kitchen is excellent as well, but the waiter is a little bit rude, because when I ask can I change my seat they directly answer me such as NO,emmm they should say I deeply understand the reason you want to change the seat, but unfortunately, it has been done at the moment and the new lamp is on the way,because we ordered it a few days ago,but next time when you come I will arrange a best seat for you. Don’t worry anything, you have my word. I am not a teacher therefore 3 star",583,2023-04-04,RorschAch,https://www.tripadvisor.com/ShowUserReviews-g308272-d15698065-r884813489-Taian_Table-Shanghai.html,3,en
7,438,"This has become a very popular restaurant in Urla. But it seems that the restaurant has began to believe in its own publicity.  Service was avarege.  The food generally good but not exceptional.  The desert offer was poor. Whats annoyed us was having chosen an award winning red Mozaik wine , we were told that it was full of tanens and the "" somelier"" suggested something else and of course at a high price.  We thought the wine list was good but seriously over priced.  We also decided to buy at the Mozaik wineyard and try the Mozaik wine we wanted to drink. There were no tanens in this 2012 beauty ?!  We can only assume that the somelier was Just pushing high margin wines for greater profit.  İn all, the restaurant is good but not 5 star- however nice a venue.",602,2022-08-26,banu sez,https://www.tripadvisor.com/ShowUserReviews-g2543601-d16659039-r856518471-OD_Urla-Urla_Izmir_Province_Turkish_Aegean_Coast.html,4,en
8,296,"I state that I am not an expert in the field. The guys in the room are nothing short of wonderful. They love what they do and they pass it on to their skins. The food has made my imagination and my attention to translate visually every taste tasted flavor, but I did not understand why being careful not to waste and to enhance what the territory offers, were combined with French wines that in my opinion did not link with the flavors of local food.  I did not like the shape on arrival, ""we invite you to the aperitif room waiting for the table"", we were poured 2 glasses of water NOT required, and after paying a very important bill, we were asked for an extra 15 euros for 2 glasses of water.",549,2024-10-28,Gessica C,https://www.tripadvisor.com/ShowUserReviews-g194704-d26683048-r976936414-Atelier_Moessmer_Norbert_Niederkofler-Brunico_Province_of_South_Tyrol_Trentino_.html,3,en
9,40,"Exquisite service & amazing food. Try the wine pairing with your dinner. Loved the many vegetable dishes. While there are a couple meat  dishes, out of the seven courses, all was very enjoyable. My son (teenager) is not a fan of vegetables, but loved every vegetable dish. If you’re looking for meat in every dish, based on the one night we dined here, this might not be for you. However, if you enjoy a diverse meal this should be a must. Don’t expect inexpensive if you’re eating at a Michelin starred restaurant, expect quality.  That’s what you’ll receive here, quality. My family & I thoroughly enjoyed my birthday dinner here! I’d be delighted to eat here again next time I’m in town.",537,2019-07-13,Stephen K,https://www.tripadvisor.com/ShowUserReviews-g187310-d958191-r689330023-Essigbratlein-Nuremberg_Middle_Franconia_Franconia_Bavaria.html,5,en
10,313,"The new location is the splendid period Villa of the Moessmers of the homonymous wool mill of long tradition; before dinner in the Salon, we visit the open kitchen with counter to finish the dishes in front of customers, the aperitif and dessert room, the library, the cellar and the veranda, all extremely refined and elegant interiors.  Aperitif in the garden with the very cordial welcome of Chef Niederkofler who will also join us later to inquire about liking and then say goodbye. Summer ""Cook The Mountain"" menu: every dish is gorgeous and exquisite.  All according to the philosophy of the Chef’s ethical and sustainable cuisine: minimal waste, local ingredients, respect for natural cycles. The brigade offers impeccable, professional and always courteous service.",630,2024-09-12,annieok2014,https://www.tripadvisor.com/ShowUserReviews-g194704-d26683048-r969510229-Atelier_Moessmer_Norbert_Niederkofler-Brunico_Province_of_South_Tyrol_Trentino_.html,5,en
11,342,"As one of the most iconic fine dining restaurants in Hong Kong, Amber is also one of my top favourite restaurants. I have had some many special occasions here - for birthday, for work celebration and etcetc. Amber by  Chef Richard Ekkebus has also been proudly recognised for 15 consecutive years with two Michelin-stars and The Michelin Green Star since 2022. The consistency of delivering a high quality dining experience is just incredible. I had my 5th Amber experience lately and it was amazing. The kitchen experience of the Full Amber Experience menu was such a highlight! I love the ""immersive"" and interactive experience- the Amber team would showcase how they curated the dish in front of you and share about the philosophy. I just couldn't wait to be back again!",626,2023-06-11,ctunglee,https://www.tripadvisor.com/ShowUserReviews-g294217-d939504-r894600107-Amber-Hong_Kong.html,5,en
12,1137,"🇳🇴The new two stars Michelin restaurant Kontrast is located in a former industrial area in Oslo. It was awarded one Michelin star in 2016. Its team aims to use the preservation and fermentation technology of its sister company b.culture to present Scandinavian food on the table. Not only that, the restaurant is proud of the source of its ingredients, sourcing wild fish, organic or wild meat. Founder and Brand Chef Mikael Svensson was born in Skåne and trained in the local 🍳school in Kristianstad as an adult. His career continued in Oslo and he worked at Le Canard (1994-2014 Michelin one 🌟, translated as 🦆) in the early 2000s. He then worked in several Michelin one-, two- and three-star restaurants in Europe, among which the more famous ones are 🇪🇸restaurants Quique Dacosta and Martin Berasategui",645,2024-08-02,RorschAch,https://www.tripadvisor.com/ShowUserReviews-g190479-d5551804-r962880876-Restaurant_Kontrast-Oslo_Eastern_Norway.html,4,en
13,441,"If you are in Izmir, Urla, Cesme you must make a reservation and try at least once OD URLA. It is in a secluded place surrounded by olive trees and mini garden where chef (who is also the owner) grows some of the vegetables there. The ambiant is super nice chic but not extravagant i.e it is a place for people appreciate good good not for people who wants to show off. The food was amazing. We took tasting menu and ordered few extra dishes seperately to share 3 people. They have also their own wines which was amazing. As a starter, we also took nice coctails called “kuzu kulagi” I am posting with delay but we visited the restaurant in 2020 August",516,2022-08-07,Merve K,https://www.tripadvisor.com/ShowUserReviews-g2543601-d16659039-r852549038-OD_Urla-Urla_Izmir_Province_Turkish_Aegean_Coast.html,5,en
14,931,"Although I was born and raised by the Mediterranean Sea, the experience at Mirazur was far more than inspiring and mind blowing for me.  A short visit to the chef’s terraced garden took me to my childhood and reminded me my late father’s olive orchard by the Aegean coast, where we would gather various herbs and veggies to cook local menus for the family.  Now I live in Florida, where rockets were/are sent to the moon by NASA staff.. The day I was at Mirazur the staff send us to the moon by their kindly presented phenomenal Lunar Menu.   You are like a rocket to the moon, thank you for everything",476,2023-12-12,HAKANAVCI,https://www.tripadvisor.com/ShowUserReviews-g187231-d785504-r929315739-Mirazur-Menton_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,5,en
15,926,"I have wanted to go to Mirazur since I saw it on Master Chef the professionals! Just before Covid struck.  My husband took me for lunch as a treat and it was lovely . The views are spectacular, the experience is one that makes you feel special , from the moment you turn up ( yes a bit hot and uncomfortable in a scrappy little Uber!)  to when you leave . They looked after us The food is exciting and different. Yes there were a couple of courses I didn’t like and I must admit that I would have liked a dessert that wasn’t trying so hard to incorporate root vegetables!!! Black garlic with chocolate was a definite no for me . The staff are lovely and taking a look at the garden is well worth it . If you can afford it I would say do it .",573,2024-07-13,Jane R,https://www.tripadvisor.com/ShowUserReviews-g187231-d785504-r959315348-Mirazur-Menton_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,5,en
