review_index,sentence_index,sentence,original_review,sample_index,index,char_count,Date,Author,URL,Rating,Language,Ensembled Sentiment
1,1.1,I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.,"I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.  Some of the staff were very friendly and some were just rushed and not very attentive.  When the food started coming it was pretty disappointing. Out of 14 courses I really only loved 6.5 of them. The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.  I really don't understand how they managed to get and retain three stars.  I can't recommend this place unless you're rich and cost doesn't matter much to you.",1,166,494,2023-08-12,Connor M,https://www.tripadvisor.com/ShowUserReviews-g190479-d2447055-r909829411-Maaemo-Oslo_Eastern_Norway.html,2,en,Negative (0.5104)
1,1.2,Some of the staff were very friendly and some were just rushed and not very attentive.,"I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.  Some of the staff were very friendly and some were just rushed and not very attentive.  When the food started coming it was pretty disappointing. Out of 14 courses I really only loved 6.5 of them. The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.  I really don't understand how they managed to get and retain three stars.  I can't recommend this place unless you're rich and cost doesn't matter much to you.",1,166,494,2023-08-12,Connor M,https://www.tripadvisor.com/ShowUserReviews-g190479-d2447055-r909829411-Maaemo-Oslo_Eastern_Norway.html,2,en,Negative (0.999)
1,1.3,When the food started coming it was pretty disappointing.,"I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.  Some of the staff were very friendly and some were just rushed and not very attentive.  When the food started coming it was pretty disappointing. Out of 14 courses I really only loved 6.5 of them. The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.  I really don't understand how they managed to get and retain three stars.  I can't recommend this place unless you're rich and cost doesn't matter much to you.",1,166,494,2023-08-12,Connor M,https://www.tripadvisor.com/ShowUserReviews-g190479-d2447055-r909829411-Maaemo-Oslo_Eastern_Norway.html,2,en,Negative (0.9996)
1,1.4,Out of 14 courses I really only loved 6.5 of them.,"I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.  Some of the staff were very friendly and some were just rushed and not very attentive.  When the food started coming it was pretty disappointing. Out of 14 courses I really only loved 6.5 of them. The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.  I really don't understand how they managed to get and retain three stars.  I can't recommend this place unless you're rich and cost doesn't matter much to you.",1,166,494,2023-08-12,Connor M,https://www.tripadvisor.com/ShowUserReviews-g190479-d2447055-r909829411-Maaemo-Oslo_Eastern_Norway.html,2,en,Negative (0.9068)
1,1.5,"The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.","I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.  Some of the staff were very friendly and some were just rushed and not very attentive.  When the food started coming it was pretty disappointing. Out of 14 courses I really only loved 6.5 of them. The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.  I really don't understand how they managed to get and retain three stars.  I can't recommend this place unless you're rich and cost doesn't matter much to you.",1,166,494,2023-08-12,Connor M,https://www.tripadvisor.com/ShowUserReviews-g190479-d2447055-r909829411-Maaemo-Oslo_Eastern_Norway.html,2,en,Negative (0.9996)
1,1.6,I really don't understand how they managed to get and retain three stars.,"I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.  Some of the staff were very friendly and some were just rushed and not very attentive.  When the food started coming it was pretty disappointing. Out of 14 courses I really only loved 6.5 of them. The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.  I really don't understand how they managed to get and retain three stars.  I can't recommend this place unless you're rich and cost doesn't matter much to you.",1,166,494,2023-08-12,Connor M,https://www.tripadvisor.com/ShowUserReviews-g190479-d2447055-r909829411-Maaemo-Oslo_Eastern_Norway.html,2,en,Negative (0.9993)
1,1.7,I can't recommend this place unless you're rich and cost doesn't matter much to you.,"I had very high expectations for this restaurant based both on how people talk about it as well as their three stars.  Some of the staff were very friendly and some were just rushed and not very attentive.  When the food started coming it was pretty disappointing. Out of 14 courses I really only loved 6.5 of them. The ones that were good were truly spectacular, but to have less than half of the menu be great when you're paying top dollar is just unacceptable.  I really don't understand how they managed to get and retain three stars.  I can't recommend this place unless you're rich and cost doesn't matter much to you.",1,166,494,2023-08-12,Connor M,https://www.tripadvisor.com/ShowUserReviews-g190479-d2447055-r909829411-Maaemo-Oslo_Eastern_Norway.html,2,en,Negative (0.9735)
2,2.1,"We had a very good dinner, however not one star experience (this is why rated it with 3)."," We had a very good dinner, however not one star experience (this is why rated it with 3).  The chef offer at the beginning was with neutral taste,  Best plate from the entree is the egg with black truffe (highly recommended).  The bread was very good and the same was the beef as main plate (very good grilled with a delicious sauce). Good selection of wines and the ones we were served with the menu were really good, especially the white one (Riesling Alcase 2016).   The cheese at the end was average. as it was grated cheese, where the taste was lost.  Good service.  Priced as 1star, Yet not at this level.  ",2,1090,472,2018-02-03,Belangelie,https://www.tripadvisor.com/ShowUserReviews-g196497-d15014147-r558183901-Thierry_Schwartz_Le_Restaurant-Obernai_Bas_Rhin_Grand_Est.html,3,en,Positive (0.9883)
2,2.2,"The chef offer at the beginning was with neutral taste,  Best plate from the entree is the egg with black truffe (highly recommended)."," We had a very good dinner, however not one star experience (this is why rated it with 3).  The chef offer at the beginning was with neutral taste,  Best plate from the entree is the egg with black truffe (highly recommended).  The bread was very good and the same was the beef as main plate (very good grilled with a delicious sauce). Good selection of wines and the ones we were served with the menu were really good, especially the white one (Riesling Alcase 2016).   The cheese at the end was average. as it was grated cheese, where the taste was lost.  Good service.  Priced as 1star, Yet not at this level.  ",2,1090,472,2018-02-03,Belangelie,https://www.tripadvisor.com/ShowUserReviews-g196497-d15014147-r558183901-Thierry_Schwartz_Le_Restaurant-Obernai_Bas_Rhin_Grand_Est.html,3,en,Positive (0.8729)
2,2.3,The bread was very good and the same was the beef as main plate (very good grilled with a delicious sauce).," We had a very good dinner, however not one star experience (this is why rated it with 3).  The chef offer at the beginning was with neutral taste,  Best plate from the entree is the egg with black truffe (highly recommended).  The bread was very good and the same was the beef as main plate (very good grilled with a delicious sauce). Good selection of wines and the ones we were served with the menu were really good, especially the white one (Riesling Alcase 2016).   The cheese at the end was average. as it was grated cheese, where the taste was lost.  Good service.  Priced as 1star, Yet not at this level.  ",2,1090,472,2018-02-03,Belangelie,https://www.tripadvisor.com/ShowUserReviews-g196497-d15014147-r558183901-Thierry_Schwartz_Le_Restaurant-Obernai_Bas_Rhin_Grand_Est.html,3,en,Positive (0.9992)
