Date,Author,Content,URL,Rating,Language
2024-09-20,SCagray,"This was by far our best meal in Slovenia (thus far). It was a cold, blustery night so everyone was indoors. We were seated in the little cabin area and it was cozy and warm. The entire place was full of patrons and the team handled it very well. They managed to stay attentive and we had our wine in hand and order in rather quickly.  The food was splendid. We had the house salad which was delicious and unique. We had the Sicilian potatoes, so very good. Potatoes cooked perfectly. Then polenta raddichio mushroom dish was the topper. The flavors blended perfectly. Heaven. The mushroom soup was just ok.   Highly recommend this place. We wished we could have gone back a second night but they were closed on Wed. Well deserved night off!",https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r970645882-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,5,en
2024-08-31,Jan M,Excellent service! Great meal nicely served for acceptable price 😊. I tried several restaurants in the area an this one is by far the best I tried.,https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r967753403-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,5,en
2024-08-28,Marco H,"Passing through Kranjska Gora, I am advised by the Accommodation Manager to go to this restaurant. What about: the environment is great both indoors and outdoors, the waiters are focused, fast and professional. The menu is very varied with a predilection for grilling, we order a grilled meat for 2 and we get a wooden board of one meter full of fat and vegetables, a spectacle. The dish was for 3 but also 4 people would eat there, my son took the BBQ ribs and came a strip of 40cm, huge. Beers of many kinds, excellent final coffee kill (Slivovitz) and adequate price. I hope one day to return.",https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r967252463-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,5,en
2024-08-27,annie b,"Not to be missed!!!!!  Fabulous meat restaurant generous ++++delicious tender meats and perfectly well cooked , we eat outside at the foot of the slopes if we want , staff at the top nice as we like them thank you!",https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r967081821-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,5,en
2024-08-24,Maja B,"Without words!! So so delicious! Stuff is very polite, serving you with smile, we didnt wait too long for the food, restaurant is near ski slope, you are eating at lovely place, definitely would recommend this place! And must have dessert, dont go away without at least one...but be careful, portion is huge :-)",https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r966490468-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,5,en
2024-08-19,Sergi F,A spectacular ember. Good place to sample grilled meat or typical grilled octopus found in many places in Slovenia.  We loved it. The terrace very comfortable in summer.,https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r965662092-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,5,en
2024-08-18,Gillian C,Delicious dinner tonight in very relaxed and scenic surroundings. Staff extremely friendly and attentive. Lovely cocktails and beer. Can’t recommend it highly enough for a relaxed holiday dinner.,https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r965517864-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,5,en
2024-08-14,Alessio V,"We had schnietzel with chips, cevapcici with vegetables and a good hamburger. The food was good, abundant quantities, correct price. Maybe not exactly welcoming but correct and nice waiter.",https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r964820933-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,4,en
2024-08-10,ollivier l,"Home quite cold, I think we made a bad choice of card so flee the trout in the oven for two. For wine, the bartender is quite economical with the dose.",https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r964115767-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,2,en
2024-08-07,Teufel,"Ingenious concept with very extensive portions. There is an open grill, during our visit there was a suckling pig. Cook various meat dishes on the ground in large “pans” - price Performance super",https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r963725313-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html,5,en
