Date,Author,Content,URL,Rating,Language
2024-07-17,dr_aaltonen,"The restaurant is located in a very nice country mansion or small castle. There is also a hotel. Snacks and aperitif is served outside at a very nice terrace. Set menu is enjoyed inside. It has 5 courses, but it's an understatement since there are 16 dishes listed in the menu.  There is a lobby upstairs you can have coffee and petit fours. Both food and service were very good. It was quite hot in the dining room but not unbearable. Chef came to discuss with all the guests afterwards. Ambience was relaxed and joyful. Really nice place, true 3 star!",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r959943455-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en
2022-12-15,martin w,"The welcoming at a beautiful location was amazing. I had a great glass of champagne in a cozy room. The dinner was served in a different room, where a movable heater had to be installed and the cold breeze had to be stopped. While aranging all of this, I had an interesting tour of the wine cellar. All fine...it is a very old building. They serve mainly local and seasonal food, which I very much appriciate. I selected a five course dinner, which started with four different starters, of which all of them were on the very sour side. The individual taste of each ingredients was noticeable on the tongue and palate for a very short time, if at all ...the only thing which lasted was the sour taste....till the next course....same again.. The main courses were ok, but far away from what I would call 3 michelin star quality. On all tables, next to me, people were eating a lot of bread offered aside.... if I write a lot ... real a lot. It seemed to be good, but thoughts are left behind! The service was impeccable. Andreas Caminada seems to be to busy to take care of his core business. Sorry, I am looking forward to eating real great wonders of food.. somewhere else... very high expectations ... but no match.",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r871823304-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,4,en
2022-11-15,oneforkatatime,"Came for dinner with high expectations as one of our party had been several times before and had fond memories. Incredible amuse-bouches served during the aperitif, each one more fun and enjoyable than the next which set us up for the dinner with great expectations. Then the dinner, great great food and so pretty too. However, wine waiter or sommelier, as was not clear, got the wine wrong twice. Service good but totally mechanical. When the chef came to the table at the end it reflected the service, seemed a chore rather than a pleasure, better not to come at that point. Overall felt more of a factory line which took away from the amazing food. Stayed overnight too and rooms very nice indeed but charging CHF 4 for a small bottle of hand sanitizer seemed bizarre for a CHF 600 / night  room.",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r868539901-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,3,en
2022-07-29,Qamar M,"We had lunch a few days ago and selected a tasting menu of four main dishes. We were however served about 21 different items. I have never tasted such amazing-looking lettuce. Each and every dish served tasted amazing. We have visited a few Michelin star restaurants in Switzerland, but this one was totally different.",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r850655795-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en
2022-04-08,Martini76,"Beautiful place, top service, top food and presentation. However, the wine pairing for chf 40 per glass (chf 160 for 4 courses) is a bit steep and from such a high class restaurant i would expect to get a proper Italian-style espresso instead of a Nespresso for chf 8!",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r833853325-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,4,en
2021-07-27,Gabriel_H61,"After several months from the reservation we finally arrived at Schloss Schauenstein.  Already the arrival from the parking slot gives a very nice view on the castle.  The multilingual welcome (we talked italian, english and german..) was very nice and the aperitif on the terrace brought the first interesting and tasting surprises.   We took the full menu (5 course) with accompanying wines (the men) and non alcoholic menu (the ladies). Also an interesting and unique proposal. The wines proposed were very unique and also an interesting discovery.  The quality, variety, fantasy in each plate was extraordinary from the beginning to the end. The rhytm between each plate perfect as also the service.  Last but not least, toward the end, Andreas Caminada came to our table and we had a nice conversation with some jokes.  An experience to do at least once in a lifetime",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r800042984-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en
2021-07-25,Steinersing,"On our first holiday in 18 months we were again highly impressed by the food, the ambience and the service at Schloss Schauenstein. Everything excels here from the first Amuse Bouche throughout the meal.  The great new addition that we enjoyed two days later is the newly opened restaurant Oz next door - also part of the Caminada set-up.. A dozen of vegetables based courses, all dramatically fresh and in a thoughtful Progression in a Counter setting was a great additional experience. Don’t miss it - currently you can get reservations on a couple of weeks notice we were told (rather than months for Schauenstein).",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r799823351-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en
2021-05-20,#rooftopfoodie,"A meal at Andreas Caminada’s flagship, triple started Schauenstein castle restaurant is for most of us a once in a lifetime experience but a truly perfect and unforgettable one. The experience starts with very moody, spot lights-lit tables and just the best restaurant staff I have ever come across. Guests are treated with wonderful attention, just as one would expect in perfection obsessed Switzerland.  The dishes are an homage to the area but put together with amazing creativity. The sweetbread surprise dish was just perfect. And when the steaming bread arrives with the sea salt butter, it’s culinary heaven. The wine pairings have certainly been given much and thorough thought but cold-served red wine might not be to every wine lover’s taste. But a new option is readily made available following every whim of the guests.  The meal certainly doesn’t come cheap but combined with the perfect experience provided, it is surely worth every penny and more. ",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r789310138-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en
2020-01-18,DvA,"Andreas Caminada is Switzerland's most famous chef, so of course we had heard a lot about his restaurant before we finally made it up to a remote little village in Grison for an extended lunch at Schloss Schauenstein. It turned out to be an unforgettable experience. We were overwhelmed by the quality and the creativeness of the food, even before we got to the first main course. Caminada starts his menu with plenty of outstanding amuse bouches and appetisers before serving several larger courses. He refrains from using posh ingredients like caviar, wagyu beef or foie gras. Instead, all the dishes are inspired by local produce and recipes. Nevertheless, the combinations of flavours are just heavenly. And on top of it, each plate looks like a wonderful piece of art. The cheese course is another highlight: next to an exclusive selection of Swiss and French cheese, a broad range of side dishes makes for an unmatched variety of exciting flavours to finish off the savoury part of the meal. Of course, there are several sweet courses too. The best of which, in our case, was an extremely fluffy and delicate milk soufflé. The staff is young, and maybe a bit insecure, but this hardly harms the overall experience. At the end of the visit, coffee, digestives and petit fours are served in an upstairs room of the ancient chateau. As the sun sets behind the Grisons mountains, you have all the time in the world to become aware of the breathtaking excellence in cuisine and hospitality you have just enjoyed. This is a restaurant experience second to none in Switzerland!",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r739827077-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en
2020-01-14,MeeN Food,"We had an absolute incredible experience at Schloss Schauenstein.   The service was absolutely outstanding throughout. We arrived on Friday afternoon with a overnight booking.   The rooms are marvelous and the whole area of the property is very nice.   The food was top notch, alltough i must say that if i only had to judge the food without the surroundings like service, ambiance, location, etc, i would feel that it was a tad overpriced as i had comparable/equal quality menus for a lot less.   Nevertheless, we got to meet and chat with the chef, an amazing and very charismatic person, which even had his sous-chef give us a tour of the kitchen.   Overall it was outstanding & deserves it's reputation as best restaurant of Switzerland.",https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r739046047-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en
