index,sentence,original_review,Date,Author,URL,Rating,Language,source_file
1,Really my expectations was high and it was according it.,Really my expectations was high and it was according it. I feel a great place with a great rustic environment but with amazing surprises on the food and amazing set of glasses and dishes.  We have a chance to see how everything was prepared and I can describe how good was everything. This kind of food is not the daily one but it is a composition of flavours combined with textures on a proper way moving to a new way. Probably will come back on important moments on my life because really everything was perfect.   ,2023-09-10,qscofr1,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r915797481-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2,I feel a great place with a great rustic environment but with amazing surprises on the food and amazing set of glasses and dishes.,Really my expectations was high and it was according it. I feel a great place with a great rustic environment but with amazing surprises on the food and amazing set of glasses and dishes.  We have a chance to see how everything was prepared and I can describe how good was everything. This kind of food is not the daily one but it is a composition of flavours combined with textures on a proper way moving to a new way. Probably will come back on important moments on my life because really everything was perfect.   ,2023-09-10,qscofr1,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r915797481-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
3,We have a chance to see how everything was prepared and I can describe how good was everything.,Really my expectations was high and it was according it. I feel a great place with a great rustic environment but with amazing surprises on the food and amazing set of glasses and dishes.  We have a chance to see how everything was prepared and I can describe how good was everything. This kind of food is not the daily one but it is a composition of flavours combined with textures on a proper way moving to a new way. Probably will come back on important moments on my life because really everything was perfect.   ,2023-09-10,qscofr1,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r915797481-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
4,This kind of food is not the daily one but it is a composition of flavours combined with textures on a proper way moving to a new way.,Really my expectations was high and it was according it. I feel a great place with a great rustic environment but with amazing surprises on the food and amazing set of glasses and dishes.  We have a chance to see how everything was prepared and I can describe how good was everything. This kind of food is not the daily one but it is a composition of flavours combined with textures on a proper way moving to a new way. Probably will come back on important moments on my life because really everything was perfect.   ,2023-09-10,qscofr1,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r915797481-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
5,Probably will come back on important moments on my life because really everything was perfect.,Really my expectations was high and it was according it. I feel a great place with a great rustic environment but with amazing surprises on the food and amazing set of glasses and dishes.  We have a chance to see how everything was prepared and I can describe how good was everything. This kind of food is not the daily one but it is a composition of flavours combined with textures on a proper way moving to a new way. Probably will come back on important moments on my life because really everything was perfect.   ,2023-09-10,qscofr1,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r915797481-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
6,"The food was not only excellent but clever, innovative and at times challenging.","The food was not only excellent but clever, innovative and at times challenging. An amazing experience for a foodie!!! Can't thank the chef and the service team enough. They were all personable and treated us like royalty! I will be recommending the experience to colleagues and friends for a long time to come. ",2023-06-18,Tom C,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r895722683-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
7,An amazing experience for a foodie!!!,"The food was not only excellent but clever, innovative and at times challenging. An amazing experience for a foodie!!! Can't thank the chef and the service team enough. They were all personable and treated us like royalty! I will be recommending the experience to colleagues and friends for a long time to come. ",2023-06-18,Tom C,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r895722683-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
8,Can't thank the chef and the service team enough.,"The food was not only excellent but clever, innovative and at times challenging. An amazing experience for a foodie!!! Can't thank the chef and the service team enough. They were all personable and treated us like royalty! I will be recommending the experience to colleagues and friends for a long time to come. ",2023-06-18,Tom C,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r895722683-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
9,They were all personable and treated us like royalty!,"The food was not only excellent but clever, innovative and at times challenging. An amazing experience for a foodie!!! Can't thank the chef and the service team enough. They were all personable and treated us like royalty! I will be recommending the experience to colleagues and friends for a long time to come. ",2023-06-18,Tom C,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r895722683-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
10,I will be recommending the experience to colleagues and friends for a long time to come.,"The food was not only excellent but clever, innovative and at times challenging. An amazing experience for a foodie!!! Can't thank the chef and the service team enough. They were all personable and treated us like royalty! I will be recommending the experience to colleagues and friends for a long time to come. ",2023-06-18,Tom C,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r895722683-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
