Date;Author;Content;URL;Rating;Language
2024-10-11;Dawkinsrocks;It is hard to imagine that there is a better restaurant anywhere in the world   What they do with food is astonishing both in style and flavour   Each of the tiny courses on the many-coursed tasting menu seems like the most delightful thing you have ever tasted and you marvel at how they did it   We did the wine pairing which does rack the bill up substantially but it adds a ton of value to the experience with many glassss and in many cases of drinks you would not have tried but find you adore  It’s a four hour gig and is expensive   Our bill was north of €900 for two and I recognise we are in a fortunate position to afford this but here’s the thing   It’s worth it;https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r973429262-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2023-11-12;Janedoe72;"On our North of Spain tour, we were recommended to try this restaurant.  We are glad we did.  Without any doubt, one of the best restaurants we have ever dinned in.  The ""La Gran Experiencia"" really lived up to the name and also was worth the price.  Professional service and very elegant setting. Highly recommended. ";https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r925597173-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2023-07-16;MadrugadaTampa;Top notch experience! Compared to other Michelin culinary experiences here in Spain, this is our number one! The food is approachable yet very unique and delicious! They showcase local ingredients. We will be dreaming about the whiskey sour back at home! The entire journey was fabulous. The staff was genuine and not stuffy. One of our waitresses, Genesis, gets a special shout out for being so enthusiastic and knowledgeable!;https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r903462309-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2023-06-25;Charlotte N;Must go !  Menu was beyond expectations!  It's nothing you've had before. Traditional Spanish food with modern culinary techniques! From the cocktails to the menu. Tried the strawberry vermouth and the whiskey sour made with flowers.  Appetizers and desserts were by far our fav part of the whole experience!  Bread is baked in place;https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r897976185-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2021-09-15;partoow;There are no words to describe how amazing the experience of eating here is Exquisite, seems lame. The entire experience brings joy. Do the tasting menu with paired drinks, you won’t be disappointed  We went as a celebration but for any experience this would be Devine. Sounds slushy. It isn’t;https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r810127977-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2021-09-15;Dawkinsrocks;It is hard to find words to describe how wonderful this restaurant is   You need deep pockets but if you can you should not die without eating here   The tasting menu and wine pairing are exquisite   The staff and service unimpeachable   My partner and I have just got married and this was our own wedding ‘breakfast’   It was the best meal either of us have ever had   To the staff - thank you   We are the people in the yellow car;https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r810122826-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2020-09-06;eRS;Inspiring, well executed food with plenty of local references. Nice setting and great, congenial service. What else can you ask for/;https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r769123140-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2020-07-27;Lourdes y Eneko;"Upon arrival it became clear that the Covid measures are scrupulously carried out as the times demand. We took the long menu and Jesús Sanchez led us with a ""in crescendo"" thread to the end. Starting with his appetizers and the pintxos reinterpreted modernizing the classics. His cocido and a series of dishes with the master's brushstrokes that gently lead you to his work with the bonito, the grouper, the carrot game and his spectacular pigeon. His dishes are beautiful while he manages to bring out the intense flavour of the products. The desserts, very suitable after such a banquet, one less sweet and the other to choose between a chocolate enjoyment or a last deconstruction, and the petit fours arrive a last wink to the menu closes it with elegance. The environment and the staff complete the experience.";https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r761790212-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2020-07-14;Lars & Rebecca;This is outstanding. From the very first welcome in the garden to the finish with sweet and coffee on the terrasse everything was amazing.  We - of course - loves the food. Traditional and a lot of fantasy. Surprising. Telling stories. Smells and tasting. The service is very professional, but in the relaxed way. We vere feeling very comfortable. Nice. We hope to be back. We have tried other tre star restaurants. Cenador de Amos is absolutely worth the all the recommendations we can give.;https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r760027535-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;5;en
2019-11-17;voyager5017;Superb place. I had not been in a few years - they have since gained another star by Michelin to make it a 2 star. I was truly surprised and delighted by the creativity and improvements across the board- from the dining space which has been massively upgraded and renovated to the food itself which was truly a delight. The chef was charming when he visited the tables and truly warm. The Sommalier gave us superb recommendations that do not break the bank. A must do on a culinary drive across north Spain for sure. I will not wait as long to be back! ;https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r727098270-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html;4;en
