"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"873957186","3DB0ED29DBE9DF650E62879182140B8B","NATALIA D","nataliadP1806BS","https://www.tripadvisor.com/Profile/nataliadP1806BS","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg","London","No","5","","Amazing experience","We went to ""le prince noir"" and as soon we walked in the atmosphere grabs us. We started with cocktails and canapés at the bar. We had the renouveau menu, but we didn't expect to have so much food, and we are good forks! It was quite new for us to not see the menu, so we didn't know what to expect, but definitely the chef knows what he is doing! They gives us few surprise dishes, as well !!! In the end of the evening we enjoy, laugh and we was full, actually we couldn't move 🤣","0","","FRIENDS","2023-01-31","2023-01-04","2023-01-04","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r873957186-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"863984632","116FC765D1018E66A366FF2557DB7528","MrsMardy","MrsMardy","https://www.tripadvisor.com/Profile/MrsMardy","https://media-cdn.tripadvisor.com/media/photo-o/06/a8/04/41/kim-m.jpg","Monte Sereno","No","2","Value: 1
Service: 5
Food: 2","Painful to review because the servers were great but...","I want to begin by giving a shout out to the two VERY hard woking servers at this restaurant.  They were fantastic.  They were also put in a very bad position the evening we were there.  We arrived at 7:30 per the request of the restaurant.  We left at midnight.  They offered a vegetarian menu.  My husband chose the regular menu.  The starters, all the same typical of France, were not vegetarian (which is OK for me), and they were OK. Fish, foie gras, etc.  But here is the disappointing part: next course for me: one mushroom, sliced in pieces and with a mushroom consommé.  My husband: squid noodles, cooked right there in front of us, pretty good.  Next course: Me: one...one small ravioli called an original ""French minestrone""-that was undercooked in a cold cabbage broth that tasted like nothing else but cabbage.  Now we are at 10:30pm in the evening.   The bread was dry and had been cut way before the meal.  My husband had pigeon, again, OK.  The rest?  I don't even remember. Again: the two servers, a young man and a young woman, were so kind and nice, got us a taxi (at midnight)...but what the heck?  Surely you can do better than this!  Don't offer a vegetarian menu if you can't support it.  I'm not a true vegetarian, but I can only imagine how upset I would be if I was...and really, over four hours for this food was not acceptable. It's not an easy restaurant to get to and expensive cab ride-40 E each way). I hated writing this because the servers were fantastic, but it was a bad experience due to the food.","0","","NONE","2022-10-31","2022-10-10","2022-10-10","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r863984632-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"818036044","7AC8A4406300AC5275B35BCDEF42A6D7","Doug Armstrong","DougArmstrong","https://www.tripadvisor.com/Profile/DougArmstrong","https://media-cdn.tripadvisor.com/media/photo-o/09/4a/57/b2/doug17120.jpg","Vaux-sur-Mer","No","5","","The Prince rules the Castle!","What can be said about Chef Vivien Durand? 
A no choice 5 or 7 course tasting menu opened with a seris of canapés.  We were able to have one 5 course and one 7 Course menu, something many restaurants refuse but here,  everything was possible.  
An excellent white wine from St. Emilion (!) was quite the discovery! 
Service we slick,  friendly and professional.  Many dishes were prepared tableside. Well done for that!
Chef even took a few minutes for a chat and a photo before leaving!","4","https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5c/30/de/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5c/30/df/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5c/30/e1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5c/30/e0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5c/30/e2/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5c/30/e3/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5c/30/e4/caption.jpg","COUPLES","2021-11-30","2021-11-09","2021-11-09","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r818036044-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"738477825","A3521B3C507A88E4C6A04210B217861D","winniech318","winniech318","https://www.tripadvisor.com/Profile/winniech318","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg","Vancouver","No","1","","Jan 2020","Very bed experience, the food was bad 😞, very expensive! Not worth it 
食物真的 不好👎，不建議介紹人去😞, 價格很貴 😩😩, 非常差的經歷☹️☹️","2","https://media-cdn.tripadvisor.com/media/photo-w/1a/92/88/c9/very-bed-experience-the.jpg","FRIENDS","2020-01-31","2020-01-11","2020-01-11","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r738477825-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"699938170","02D5658E180B1AE5D0EFBC15BD17B4B6","Sergey","SL-Sergey","https://www.tripadvisor.com/Profile/SL-Sergey","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg","","No","3","","Eclectic place, interesting food","It is Michelin star restaurant, it’s interior is very eclectic - mix of old chateau & modern “glass & steel” restaurant inside. Food is ... interesting. We took 4 dishes degustation and only started and dessert were as they should be. 2 Main courses ... are very average. Price is fair 180€ for a couple (incl wine)","0","https://media-cdn.tripadvisor.com/media/photo-w/18/d2/41/43/photo0jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/18/d2/41/44/photo1jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/18/d2/41/45/photo2jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/18/d2/41/46/photo3jpg.jpg","FAMILY","2019-08-31","2019-08-17","2019-08-17","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r699938170-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"671169215","83DB673AA81E39DF148EEFBA157A533F","Terry D","TerryAussie_1","https://www.tripadvisor.com/Profile/TerryAussie_1","https://media-cdn.tripadvisor.com/media/photo-o/0e/de/5a/a6/terry-d.jpg","Castle Cove","No","5","Value: 5
Service: 5
Food: 4","Amazing surroundings & pleasant food","The restaurant is built as a modern addition in the grounds of the chateau, so there is lots of history to absorb. The staff were very attentive & friendly. The prices were also good for the mid-week lunch menu.My wife & I decided to share our meals & the staff were kind enough to split the dishes across two plates so as not to mess-up the presentation. 

The dishes themselves varied from very tasty eg the complementary dishes at the start to very ordinary eg the deserts.","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/17/62/64/58/restaurant-on-the-right.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/17/62/64/d8/entree.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/17/62/64/9d/comlementary.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/17/62/64/f0/offal.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/17/62/64/c2/fish-fingers.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/17/62/64/72/the-chateau.jpg","COUPLES","2019-05-31","2019-05-03","2019-05-03","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r671169215-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"666400576","EE0A8AABF10C0ED13DCC192DA384DF51","Chris A","789ChrisA","https://www.tripadvisor.com/Profile/789ChrisA","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg","Witney","No","2","","Experimental over Delicious?","We were recommended Le Prince Noir as we only had a night to stay near Bordeaux and wanted something special. It was certainly different! Having eaten at a number of Michelin star restaurants across the world, this one stood out for all the wrong reasons.

We booked for 8pm but arrived 15 minutes early to have a drink, to find the doors closed. It was cold evening, but the staff made us wait outside until 8pm, along with the other couple who had booked that evening. Not exactly a warm welcome!!

We chose the 6-course tasting menu which can be best described as ‘good in parts’. The dishes were experimental. Some were delicious (the Octopus) and some were really not pleasant at all (the white asparagus). There was no meat course, as this had been replaced by the white asparagus. I ate more than my wife as I found her passing many elements of each dish to me...

Service was good, although one member of staff’s  approach to service was a little off-hand. The lad who served us spoke excellent English and was genuinely welcoming and he offered us either pigeon or cheese when he realised that we did not like the white asparagus.

Le Prince Noir clearly has a very good reputation locally, so perhaps we went on a bad night. We’ll never know, because we won’t be booking there again.","2","","NONE","2019-04-30","2019-04-14","2019-04-14","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r666400576-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"665858272","C1546E094B0566F540A25BA958FB6C04","Ted Lelekas","ted_lelekas","https://www.tripadvisor.com/Profile/ted_lelekas","https://media-cdn.tripadvisor.com/media/photo-o/15/51/01/d7/caption.jpg","","No","5","Value: 4
Service: 5
Food: 5","Very creative!","Not your typical Bordeaux restaurant. Located in a very grand chateau but with a very quirky, unusual interior. The food, the service, even the dishes and cutlery are very creative and different. Try it, it's an experience!","0","","BUSINESS","2019-04-30","2019-04-13","2019-04-12","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r665858272-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"630112247","614CC5C2B59C7FA1221A01F17C54B618","Saviotung","Saviotung","https://www.tripadvisor.com/Profile/Saviotung","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg","Scarsdale","No","4","","Modern French","We enjoyed the food very much and the price of this one star restaurant was very fair. Good value.
I did not like the decor inside much. It was too modern and they tried hard to make this like an artsy place.
The outside is very impressive. There is a castle like tower next to the restaurant and you need to cross a bridge to enter the restaurant. We enjoyed the meal much.","0","","NONE","2018-10-31","2018-11-01","2018-11-01","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r630112247-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
"582990379","FD553AF03B171945ACD8AF8C868A0692","johartrog","johartrog","https://www.tripadvisor.com/Profile/johartrog","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg","Bromley","No","4","Value: 4
Service: 5
Food: 4","The Black Prince","A modern, yet set in an ancient location, restaurant. The service was excellent and the atmosphere very pleasant. The food was very nouvelle cuisine and very tasty. Quite unique flavours from a variety of unusual ingredients served on some unusual dishes.
Very enjoyable meal at 1* Michelin restaurant..","0","","COUPLES","2018-05-31","2018-05-27","2018-05-27","en","Restaurant le Prince Noir","1197354","https://www.tripadvisor.com/ShowUserReviews-g644083-d1197354-r582990379-Restaurant_le_Prince_Noir-Lormont_Bordeaux_Gironde_Nouvelle_Aquitaine.html"
