"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"970645882","DF3B3B25DC4B5119DF08F76B36C6A17B","SCagray","SCagray","https://www.tripadvisor.com/Profile/SCagray","https://media-cdn.tripadvisor.com/media/photo-s/01/bf/c4/40/scagray.jpg","Santa Cruz","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","Wonderful spot","This was by far our best meal in Slovenia (thus far). It was a cold, blustery night so everyone was indoors. We were seated in the little cabin area and it was cozy and warm. The entire place was full of patrons and the team handled it very well. They managed to stay attentive and we had our wine in hand and order in rather quickly.

The food was splendid. We had the house salad which was delicious and unique. We had the Sicilian potatoes, so very good. Potatoes cooked perfectly. Then polenta raddichio mushroom dish was the topper. The flavors blended perfectly. Heaven. The mushroom soup was just ok. 

Highly recommend this place. We wished we could have gone back a second night but they were closed on Wed. Well deserved night off!","0","","COUPLES","2024-09-30","2024-09-21","2024-09-20","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r970645882-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"967753403","C64B15F0B2928DD1B7E36FED26A21F7F","Jan M","Q471JBjanm","https://www.tripadvisor.com/Profile/Q471JBjanm","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg","","No","5","","Go-to restaurant","Excellent service! Great meal nicely served for acceptable price 😊. I tried several restaurants in the area an this one is by far the best I tried.","0","","FRIENDS","2024-09-30","2024-09-01","2024-08-31","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r967753403-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"967252463","7BC63249EA852FEEC70BC5D8B17E519F","Marco H","491marcoh","https://www.tripadvisor.com/Profile/491marcoh","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg","Figline e Incisa Valdarno","No","5","","A Bud Spencer dinner","Passing through Kranjska Gora, I am advised by the Accommodation Manager to go to this restaurant.
What about: the environment is great both indoors and outdoors, the waiters are focused, fast and professional.
The menu is very varied with a predilection for grilling, we order a grilled meat for 2 and we get a wooden board of one meter full of fat and vegetables, a spectacle.
The dish was for 3 but also 4 people would eat there, my son took the BBQ ribs and came a strip of 40cm, huge.
Beers of many kinds, excellent final coffee kill (Slivovitz) and adequate price.
I hope one day to return.","0","","FAMILY","2024-08-31","2024-08-28","2024-08-28","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r967252463-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"967081821","261F6A5FA3C2D1FBE6B4331C9444171A","annie b","13annieb","https://www.tripadvisor.com/Profile/13annieb","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg","Marseille","No","5","","Go fast!","Not to be missed!!!!! 
Fabulous meat restaurant generous ++++delicious tender meats and perfectly well cooked , we eat outside at the foot of the slopes if we want , staff at the top nice as we like them thank you!","0","","COUPLES","2024-08-31","2024-08-27","2024-08-27","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r967081821-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"966490468","B2EEE10970B4425086CA14A23ED62669","Maja B","MajaB688","https://www.tripadvisor.com/Profile/MajaB688","https://media-cdn.tripadvisor.com/media/photo-s/14/b7/2c/3a/maja-b.jpg","","No","5","","Must stop at this place","Without words!! So so delicious! Stuff is very polite, serving you with smile, we didnt wait too long for the food, restaurant is near ski slope, you are eating at lovely place, definitely would recommend this place! And must have dessert, dont go away without at least one...but be careful, portion is huge :-)","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/3f/c8/b7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/3f/c8/b8/caption.jpg","COUPLES","2024-08-31","2024-08-24","2024-08-24","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r966490468-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"965662092","BF52E230E350A3D68715BD2CAA924EE7","Sergi F","sergifernandezb","https://www.tripadvisor.com/Profile/sergifernandezb","https://media-cdn.tripadvisor.com/media/photo-m/1280/27/67/f8/4d/sergifernandezb.jpg","Berga","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 4","A great terrace and a spectacular ember","A spectacular ember. Good place to sample grilled meat or typical grilled octopus found in many places in Slovenia.

We loved it. The terrace very comfortable in summer.","0","","FAMILY","2024-08-31","2024-08-19","2024-08-19","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r965662092-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"965517864","2FEDF7253782CC12A2A10151D037E3D2","Gillian C","996gillianc","https://www.tripadvisor.com/Profile/996gillianc","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/fe/default-avatar-2020-58.jpg","","No","5","","Perfect evening","Delicious dinner tonight in very relaxed and scenic surroundings. Staff extremely friendly and attentive. Lovely cocktails and beer. Can’t recommend it highly enough for a relaxed holiday dinner.","0","","FAMILY","2024-08-31","2024-08-18","2024-08-18","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r965517864-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"964820933","D4F0DAA0D47178FB4C4FFDB51C805FD2","Alessio V","alessio76Genova","https://www.tripadvisor.com/Profile/alessio76Genova","https://media-cdn.tripadvisor.com/media/photo-o/18/11/07/6f/alessio76genova.jpg","Genoa","No","4","","Great meal","We had schnietzel with chips, cevapcici with vegetables and a good hamburger. The food was good, abundant quantities, correct price. Maybe not exactly welcoming but correct and nice waiter.","0","","FAMILY","2024-08-31","2024-08-14","2024-08-14","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r964820933-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"964115767","5814F1A6F3A7FA6651A50E799E75FCE6","ollivier l","ollivierl2014","https://www.tripadvisor.com/Profile/ollivierl2014","https://media-cdn.tripadvisor.com/media/photo-o/11/37/5b/7f/ollivier-l.jpg","Hyeres","No","2","Value: 1
Service: 3
Food: 1
Atmosphere: 3","Do not eat trout","Home quite cold, I think we made a bad choice of card so flee the trout in the oven for two. For wine, the bartender is quite economical with the dose.","0","","COUPLES","2024-08-31","2024-08-10","2024-08-10","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r964115767-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
"963725313","459C611F34C21DEAA39CF024CF887466","Teufel","deepinthesouth","https://www.tripadvisor.com/Profile/deepinthesouth","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg","Ravensburg","No","5","","Great concept with sumptuous meat portions","Ingenious concept with very extensive portions. There is an open grill, during our visit there was a suckling pig. Cook various meat dishes on the ground in large “pans” - price Performance super","0","","COUPLES","2024-08-31","2024-08-08","2024-08-07","en","Okrepčevalnica Lačni Kekec","10628042","https://www.tripadvisor.com/ShowUserReviews-g274870-d10628042-r963725313-Okrepcevalnica_Lacni_Kekec-Kranjska_Gora_Upper_Carniola_Region.html"
