"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"974078475","775F9ECED178730ABEDAA8A32CDE3A87","Joey","jakoblevy","https://www.tripadvisor.com/Profile/jakoblevy","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg","Braga","No","3","","Kitchen creative. Waiters speak incomprehensible English. Sommelier doesn't explain the wines. Toilets dirty.","Food creative. Waiters speak incomprehensible English. The sommelier doesn't explain the wines. As the evening progressed, the toilets became worse and worse. Out of the bad box came upscale department store music. If you want to appeal to all the senses.....","0","","COUPLES","2024-10-31","2024-10-15","2024-10-15","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r974078475-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"968386402","6DF60AB19C9D9014AB8476AB95A056A4","Grands A","grandsa2024","https://www.tripadvisor.com/Profile/grandsa2024","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg","","No","5","","Perfect.","We went to this little restaurant because it was not far from our favorite museum. 
We were not disappointed. I had the chance to taste the best non-alcoholic food pairing since this proposal is made in some restaurants. For once, it was not fruit juices but worked drinks, in the noble sense of the word, that matched perfectly with the dishes of the chef. On the quality of the food, nothing wrong. The 2 stars are well deserved","0","","COUPLES","2024-07-31","2024-09-05","2024-09-05","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r968386402-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"966934601","B47DB8B9C20BB332A3E7D626F0A87380","Carol P","carolpowell60","https://www.tripadvisor.com/Profile/carolpowell60","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg","","No","4","Value: 3
Service: 3
Food: 4
Atmosphere: 4","Good but not great!","This was our fourth time here and a very disappointing experience.  Service was very cold and impersonal compared to our first three visits.  Food was very good but not quite as good or as creative.","0","","FAMILY","2024-07-31","2024-08-26","2024-08-26","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r966934601-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"5010","281BA704A9A4015ADA67658EA7A87A46","Luc M","691lucm","https://www.tripadvisor.com/Profile/691lucm","https://media-cdn.tripadvisor.com/media/photo-o/10/37/a4/a9/luc-m.jpg","Paris","No","5","","Simply fabulous","A superb experience in the very clean setting of David Toutain's Michelin-starred restaurant. A superb culinary discovery.","0","https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/ef/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/ee/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/ed/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/ec/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/eb/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/ea/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/e9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/e8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/e7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/e6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/db/9f/e5/caption.jpg","","","2024-07-15","2024-07-15","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r5010-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"958525101","E10FA3C0F50A3112E9A3C69B4DBBB72F","Julien H","julienhB3032HV","https://www.tripadvisor.com/Profile/julienhB3032HV","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg","","No","2","Value: 1
Service: 1
Food: 3
Atmosphere: 2","average","Disappointed by the quality of service. You'd expect better in a two macaroons, especially considering the price. 
Restaurant full of American tourists. Warning.
We're not going back.","0","","COUPLES","2024-07-31","2024-07-08","2024-07-08","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r958525101-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"955602193","2E4E64E0AF0ABC188785CE8393559678","Patcesar","Patcesar","https://www.tripadvisor.com/Profile/Patcesar","https://media-cdn.tripadvisor.com/media/photo-o/05/ca/dc/82/patcesar.jpg","Paris","No","5","","Exceptional restaurant!","Modern setting a little sad all the same….
Spaced tables, good atmosphere, friendly and efficient service. 
Everything that was offered to us was incredible and for me it was a unique experience. 
All the products used are of perfect quality, the combinations, cooking, seasonings and dressings of extremely rare originality and research. 
It’s an unforgettable taste moment. 
The wine list is very rich and varied. 
The bill is very high but perfectly justified given the service. 
Congratulations to the chef and his entire team.","0","","FRIENDS","2024-06-30","2024-06-18","2024-06-17","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r955602193-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"954846101","9F0AB39A8DC376DF033AE43A376C33B4","Tyler B","V528AFtylerb","https://www.tripadvisor.com/Profile/V528AFtylerb","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg","","No","4","Value: 3
Service: 2
Food: 5
Atmosphere: 4","High-level Talent with Questionable  Restaurant Practices","The Chef is among the most sophisticated in the city--innovative,  imaginative, and a master with vegetables.  Most of what we ate was delicious and expanded our taste experience.  The opening oyster with raspberry and shallot cream and the pumpkin seed ""focaccia"", with bay leaf and a wonderful combination of butter and olive oil, were both inspired.  An asparagus spear with almond foam and a touch of rhubarb played off rich and tart flavors in a subtle way.  The chef's signature smoked herring in black sesame sauce covering diced apple was a wonder.  We found the abalone with seaweed puree and seaweed butter, enhanced by minty herb, only slightly less perfect.  The final main, a medium rare duck in an orange and onion flavored sauce, with asparagus, tasted good.  But in relation to the rest of the meal, it  was a jolt.  Instead of imaginative and innovative, it seemed just a good version of something familiar.  Moreover, the duck was chewy.  This was a real come-down from the string of preceding, near perfect, innovative dishes.  Dessert was also mixed.  The strawberries marinated and glazed with strawberry and elderberry juice with almond sorbet were marvelous; but the  traditional strawberry tart was bland and uninteresting, another miscalculation.  Finishing bites were very good and innovative, except that the crepe with pecan cream seemed a bit heavy for a finish.  So mostly, a terrific meal with some surprising lapses.  It was fun to have a window on the chefs working in the kitchen.  Decor is tasteful and attractive.  Noise level too high, though not oppressive.  Our main criticism was of the service.  Although friendly, it was not graceful.  One waiter dropped food on the table behind us.  We had to wait puzzlingly long for our coats. After declaring that we did not want any of the offered extras, beyond the tasting menu, a waiter intentionally left an open caviar tin on the table.  So we had to reject it again. More worrisome: in an apple sorbet, palate-cleanser after the main course, we were offered an alcoholic calvados or non-alcoholic calvados syrup.  There was no indication that the alcoholic choice cost extra (it cost 48E for two, we learned  later).  The couple at the table next to us complained about the charge at length, when they were presented with the bill; so we know that we were not alone in being misled.  I made the point, but did not belabor it, and paid up.  In many fine-dining experiences in Paris (1-, 2-, and 3- michelin star restaurants) over many years, this sort of thing has never happened.  A chef of Toutain's talent should not be associated with such  practices.  All of this left a bad aftertaste in what should have been a fine meal.  Most of the food was at a very very high level, but meals should be more than showcases of talent.  They should be an occasion for fellow-feeling, not for feeling that one has been misled for extra Euros.","0","","COUPLES","2024-06-30","2024-06-12","2024-06-12","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r954846101-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"951426084","303015411BEDD4D45DA585CD45824FD5","STEPHEN S","V624ZJstephens","https://www.tripadvisor.com/Profile/V624ZJstephens","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg","","No","3","","Mediocre  food great wine terrible service","Goodamusebouches.  Blandundercookedfood..   Terrible service with long gaps between courses and no replenishment of water. Great wines at reasonable prices. Quality Variable.","0","","COUPLES","2024-05-31","2024-05-19","2024-05-18","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r951426084-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"950746393","6CF3044DB22263D63D3FC108AD705D5F","Gabryelle F","gabryellef2022","https://www.tripadvisor.com/Profile/gabryellef2022","https://media-cdn.tripadvisor.com/media/photo-o/21/ca/dd/8e/gabryelle-f.jpg","","No","5","","Unforgettable dinner","Dinner for my birthday offered by my partner. It was really perfect. We had the menu in 8 sequences as well as a superb discovery with a bottle of wine on the advice of the sommelier to accompany us. We never lack water or bread. The staff is smiling and friendly, it's very pleasant. And obviously the kitchen! My partner, who doesn't like shellfish at all, was able to discover and appreciate seafood. The combination of flavors and textures is so creative, it's WOAW. They put glitter in our eyes from start to finish!","0","","COUPLES","2024-04-30","2024-05-13","2024-05-13","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r950746393-Restaurant_David_Toutain-Paris_Ile_de_France.html"
"950724370","440861D3F5E72CD473833C96DEEEA071","Teresa D","D9570UXteresad","https://www.tripadvisor.com/Profile/D9570UXteresad","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg","Los Angeles","No","3","","Big Disappointment","The thing I most looked forward to, on this first trip to Paris after a long, pandemic-fueled travel hiatus, was David Toutain.  It's long been my favorite Paris restaurant.  It earned a second Michelin star since we ere last there, so what could it do but be even better?  What a disappointment.  The tasting menu was fairly pedestrian, and the presentation was lackluster and unenthusiastic.  The white burgundy was not kept cool, so that two hours into the long meal, it was actually WARM - not ""room temperature."" Why?  There's just no excuse for indifferent service.  The waiter stopped pouring the wine at one point, for reasons known only to him. My companion chastised me for not asking for more wine.  I don't expect to have to ask that a waiter notice an empty wine glass.  The room, which used to be warm  - even whimsical - is now cold and staid.","0","","FAMILY","2024-04-30","2024-05-13","2024-05-13","en","Restaurant David Toutain","6115029","https://www.tripadvisor.com/ShowUserReviews-g187147-d6115029-r950724370-Restaurant_David_Toutain-Paris_Ile_de_France.html"
