"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"726759911","752EA02502213B3A929BE49FAF65A24C","秀之 清","A2321VR_","https://www.tripadvisor.com/Profile/A2321VR_","https://media-cdn.tripadvisor.com/media/photo-o/15/e3/21/fd/caption.jpg","Setagaya","No","5","Value: 5
Service: 5
Food: 5","旬を詰め込んだコースが楽しくて","記念日に伺いました
シンシアコースは10800円、ペアリングは6900円。

美味なる逸品ばかりでしたが抜粋して。
利尻の馬糞海胆にトマトと海老のムース。
海老感が強くて、海胆の甘みと重なってこれが旨し。
 

アミューズのうちの５味のトマト
口の中でいろんな味が巡って。
口が繊細になってこれから美味しいものを食べようという準備ができる一品。

本鮪に根セロリとカレースパイスの取り合わせがもう絶妙。

これに合わせたGuilaumeがスパイシーさとマッチして、ペアリングの妙を感じた。

定番のブリオッシュも出て。
バカール以来の顔合わせ。

大人の乳酸菌飲料、新政の低アルコール天蛙に
フォアグラのコンフィシャインマスカットに甘みと酸味を乗せて。
 

 
名物たい焼きパイ包みは鱸
サクサクの中にホワッと柔らか鱸の身。

千葉県産花悠仔豚はローストで。
ミルキーでしっとり繊維でやわらか〜

名物ストウブご飯はもちろん追加で
懐かしのフォアグラ＆鰯で。

ほぐせば香ばしさの中にコクと、旨味の相乗効果。

趣向を凝らしたメニューと、飲んで分かるワインペアリング。
お酒が飲める方はコースにペアリングは必須と言えるでしょう。
見た目の華やかさと楽しさがアミューズから最後まで、
記念日やお祝いに、是非とも伺いたいお店です。","0","","NONE","2018-12-31","2019-11-16","2019-11-16","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r726759911-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"701833800","7AF8DC53822BDB96CA77993F87A3B63C","aio658","aio658","https://www.tripadvisor.com/Profile/aio658","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg","","No","5","","また行きたいレストラン","最初から最後まで楽しめました。こういった料理は記憶に残らない場合が多いのですが、記憶に残るおいしさでした。","1","https://media-cdn.tripadvisor.com/media/photo-w/18/e6/8c/f1/photo0jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/18/e6/8c/f2/photo1jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/18/e6/8c/f3/photo2jpg.jpg","NONE","2019-03-31","2019-08-22","2019-08-22","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r701833800-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"674211473","B8D3B5207B183FD11686358E1211D960","11tia11","11tia11","https://www.tripadvisor.com/Profile/11tia11","https://media-cdn.tripadvisor.com/media/photo-o/17/87/a9/f1/caption.jpg","Tokyo","No","4","","おしゃれ","知り合いのグルメなお姉様が絶賛してたので行ってみました！内装もおしゃれだしキッチンが見えるのもいい！料理もサービスも素敵過ぎました！","0","https://media-cdn.tripadvisor.com/media/photo-w/17/87/e7/3e/photo9jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/17/87/e7/3d/photo8jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/17/87/e7/3c/photo7jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/17/87/e7/3b/photo6jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/17/87/e7/38/photo5jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/17/87/e7/37/photo4jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/17/87/e7/36/photo3jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/17/87/e7/35/photo2jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/17/87/e7/34/photo1jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/17/87/e7/33/photo0jpg.jpg","COUPLES","2018-12-31","2019-05-15","2019-05-15","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r674211473-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"626882870","31FBB0B9789E89773556B20246D4C8C0","タコと亀","FarAway810041","https://www.tripadvisor.com/Profile/FarAway810041","https://media-cdn.tripadvisor.com/media/photo-o/06/88/43/bb/nobu1974.jpg","Minato","No","5","","リピート","してます。何度行っても、おまかせアラカルトで外さない名店です。
牛島ソムリエと石井シェフの名コンビで、和の食材も出ますが、しっかりフレンチ。","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/4a/photo8jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/49/photo7jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/48/photo6jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/47/photo5jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/46/photo4jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/45/photo3jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/44/photo2jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/43/photo1jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/1c/6d/42/photo0jpg.jpg","COUPLES","2018-10-31","2018-10-21","2018-10-21","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r626882870-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"610912812","8527FCDFB577E047EA0428BB8F538D58","きるしぇん","kirschen1987","https://www.tripadvisor.com/Profile/kirschen1987","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg","","No","5","","感動フレンチ","ダイニングは、きゅっ！とコンパクトな広さ。こちらからも、キッチンからもお互い隅々まで見渡せます。それでいて、なぜか周りは気にならない。自分たちのテーブルで繰り広げられる世界にのめり込める不思議。
いいのですか？ベーシックなコースで、感動しきり。全員一致で、1ヶ月半後に次の予約を入れてしまいました。","1","","FRIENDS","2018-07-31","2018-08-27","2018-08-27","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r610912812-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"606832008","DC474288F9AD5FB22BE404FBDACCAC9B","飲みニスト","nominist","https://www.tripadvisor.com/Profile/nominist","https://media-cdn.tripadvisor.com/media/photo-s/13/bb/f3/c3/nominist.jpg","Yokohama","No","4","Value: 4
Service: 4
Food: 4","負けず嫌いコースで、贅沢食材を食べ尽くす！！","今日は、飲み友さんにお誘いいただき、北参道の予約困難店「シンシア」にやってきました！！

昼営業の「シンシア＋」さんには訪問したことがあったのですが、
夜営業の「シンシア」さんに訪問するのは、初めて！！
どんな料理が食べられるか、めっちゃ楽しみです。

階段を降りていくと、「シンシア」さんがありました。
１８時オープンのお店に、一番乘りでやってきました！！

テーブルの上には、
よく見ると、サンゴのかけらに「Sincere」の文字が刻まれています。

今日のコースは、「負けず嫌いコース」！！
今日の内容は、こちら！！

まずは、シャンパンで乾杯！！

【ノワック】
酸が強めで、すっきりとした飲み口がいいですねぇ。。。

【北海道噴火湾の毛蟹と利尻の雲丹】
大きな器に、毛ガニとウニが入っていて、テンションアップ！！
毛蟹のカニ身の上に、雲丹がたっぷりと載っていて、と～ってもきれい！！
食べても、カニとウニ、コンソメジュレの味わいが相まって、めっちゃやばい美味さです。

【群馬県の恵みゴールド　とうもろこしそのままの味わいを生かして】
冷製スープは、濃厚で、めっちゃいい味わいです。
スポンジ生地が超フワフワで持ちにくいので、そ～っと持ち上げていただくと、ウマウマです。

今日のパンは、５種類！！
シンシアの名を刻んだブリオッシュに、コーンパン、むらさき芋パンなど、
パンもとっても美味しそうです。

お次のお酒は、白ワインを！！

【クラウディーベイ　ソーヴィニヨンブラン】
涼やかな味わいとすっきりとした酸がいい感じのワインです。

【若鮎は熱々のコンソメを注いで、マンジマップの黒トリュフの香りを際立たせ、絹川茄子や獅子唐で夏の装いに】
若鮎に、コンソメスープをかけていただきます。
若鮎に、マンジマップの黒トリュフがたっぷりと。。。
若鮎をザクザクと切っていただくと、頭から尻尾まで丸ごといただくことができます。
そして、何よりコンソメが美味しく、最後の一滴まで残さずいただきました！！

【青森県の蝦夷鮑はソテーにして肝のソースで】
大きな蝦夷鮑を丸ごと１個独り占めする幸せを感じます。
鮑がめっちゃ柔らかく、鮑の肝ソースを絡めていただくと、やばウマですぅ。。。

ここで、ブルターニュ産のオマール海老「オマールブルー」が登場！！
めっちゃ大きなサイズで、まだ動いていて、めっちゃ新鮮です！！

【オマール海老は最高峰ブルターニュから届いた「オマールブルー」】
ソースは、オマール海老でとったメリケーヌソース、そしてたっぷりのレッシュトリュフを！！
一人で、大きなオマール海老の半身をいただけるなんて、贅沢ですねぇ。。。

お次のお酒は、赤ワインを！！

【ファニー・サーブル　ボーヌ】
上品な果実の香りに、程よいタンニンがいい味わいになっています。

【山形牛ヒレ肉とフォアグラをクラッシックなロッシーニに仕立て、パイで包みに】
パイ生地はサックサク、山形牛ヒレ肉は柔らかく、まるでフォアグラと一緒にとろけるようです。。。

【ストウブで炊き上げる鉄鍋ご飯】
ストウブで炊いたご飯に、ブイヤベースをかけていただきます。
お好みで、チーズをかけていただくと、リゾットのような味わいを楽しむことができます。

今日のストウブご飯が集合！！
ブイヤベースの他に、
・カキ
・桜エビフリット
・いわし、フォアグラ
と、色々な味わいのストウブご飯があり、
人数が多いと、分け分けして、色々な味わいが楽しむことができます。

【山梨笛吹の保崎さんの白桃と玉露のほのかな苦味で】
玉露ムースの上に、玉露チップが載っていて、その横に白桃があります。
玉露スープをかけていただくと、玉露の香りが広がり、
玉露の味わいと白桃の味わいを一緒に楽しみます。

【ハーブティー】
香りのよいフレッシュなハーブティーは、食後の癒しを与えてくれます。

ハーブティーを楽しんでいると、プレートが登場！！
よ～く見てみると、
・チュロス
・マカデミアナッツ
・チョコ
と３種類のデザートが隠れています。

最後に、サプライズで、飲み友さんのお誕生日プレートが登場！！
お誕生日おめでとうございます！！

今日は、シンシアさんで負けず嫌いコースを堪能させていただきました。
最初から終わりまで、ずっとメインのようなコース！！
めっちゃ幸せなコースでした！！","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7b/6a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/76/69/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7b/2f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7a/ee/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/78/6d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/79/ec/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/14/28/78/26/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7c/65/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/77/a5/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7a/7b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/78/ba/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7b/f3/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/77/f3/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7b/b1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/76/31/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/76/b0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/79/b0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/79/36/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/79/74/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7a/c9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/77/89/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/14/28/79/08/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/78/88/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/79/8f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/14/28/76/4f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7b/8e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/14/28/77/4e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/77/cd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/78/43/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7b/02/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/14/28/7a/00/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7a/47/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7c/44/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/76/9b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/77/1f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/76/de/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/78/dd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7b/dd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7a/1d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/79/53/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/14/28/76/12/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/14/28/7c/14/caption.jpg","FRIENDS","2018-08-31","2018-08-15","2018-08-15","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r606832008-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"603771056","36B128BA754CF4EFF7D42158ECBE1CE7","coppn","coppn","https://www.tripadvisor.com/Profile/coppn","https://media-cdn.tripadvisor.com/media/photo-o/12/1a/e9/26/coppn.jpg","Ota","No","4","Value: 3
Service: 4
Food: 5","味は確か、しかしケレン味が・・・","フレンチとして、味もサービスもほぼ申し分ないと感じました。ただ、私のような年輩者にとって、出し方・見せ方があまりにもケレン味たっぷりだったのが、鼻についてしまいました。味はともかく、その辺が意見の分かれるところでは無いかと思います。日本料理もそうですが、見た目が美しいかうるさいかは紙一重の難しい所なのでしょう。ペアリングのワインも、やや少な目かなと感じました。","0","","FAMILY","2018-08-31","2018-08-07","2018-08-07","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r603771056-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"588760472","B7BF0460EF9AF1EEF483D91D437FBB6B","taktaktak","taktaktak","https://www.tripadvisor.com/Profile/taktaktak","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg","Roppongi","No","4","","美味しく楽しいフランス料理","元「レストラン・バカール」の石井シェフが腕を振るうお店です。住宅街の分りにくい場所にお店はあります。
料理の見た目、提供の仕方にまでアイディアを凝らした美味しく楽しいフランスコース料理で、満足度の高いお店でした。","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/58/33/5d/caption.jpg","FAMILY","2017-09-30","2018-06-19","2018-06-19","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r588760472-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"585444957","B4DAE7BECFA2076F3CDC7BCA98292121","澪446","Adventure809738","https://www.tripadvisor.com/Profile/Adventure809738","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg","Nakano","No","5","Value: 4
Service: 5
Food: 5","いつも美味しい。ためらわず一番高いコースを選ぶべし","シンシアはいつ行っても美味しい。予約段階でサービスに溢れている。味も細やかで、遊び心もあり、楽しく、間違いがない。
価格改定され、シンシアコースが税抜¥10,800、オートクチュールコースが税抜¥13,800になったけれど、このレストランのよさが満喫できるのは絶対的にオートクチュールコース。そしてこの価格でこの味はすばらしい。
なので迷わず高い方のコースを選ぶべし。","0","","FRIENDS","2018-03-31","2018-06-05","2018-06-05","ja","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r585444957-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
"577101891","9709D1A7EF490D7D7E37AD97623B6242","SSL19901","SSL19901","https://www.tripadvisor.com/Profile/SSL19901","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg","","No","5","Service: 5
Food: 5","A pleasant surprise","My husband booked this place to celebrate my birthday with me. It was a cosy little restaurant with a semi open kitchen to enable guests to see the chef and the fleet in action. 

All courses are with unexpectedly interesting presentation. This however in no way compromise the quality of the food.  The petite four was particularly worth mentioning -  they played a little game with guests at the end - to spot the edible stone like chocolate from a plate mixed with rel stones. 

The service was impressive too.

Definitely falls within  the ""i will be back"" list","0","","COUPLES","2017-06-30","2018-05-01","2018-05-01","en","Sincere","12086712","https://www.tripadvisor.com/ShowUserReviews-g14131014-d12086712-r577101891-Sincere-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html"
