"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"943435243","51A0D7689C316E21B838F1362C101487","SeaM","GeoCru13","https://www.tripadvisor.com/Profile/GeoCru13","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/43/default-avatar-2020-11.jpg","","No","5","","What a guy, what a place, what an experience ","What a fabulous chef, his warmth, humour, and culinary skills second to none, as if we were guests in his home. As non-Japanese speakers, we were a novelty, but  we were made to feel special and part of his culture due to the intimate setting. We will never forget him. ","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/b0/a2/5b/caption.jpg","COUPLES","2024-03-31","2024-03-22","2024-03-22","en","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r943435243-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"891629196","C2EF5BD06024E29DE238525B2E255320","シーサーくん","Siisaakun","https://www.tripadvisor.com/Profile/Siisaakun","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg","World","No","1","Value: 5
Service: 5
Food: 2","美味しい。キャシュ現金を持って行って下さい。","店の雰囲気格調は素晴らしい。料理はもちろん美味しい、店主も愛想がいい。スタッフも丁寧です
内容の割には、高すぎる。おまけにクレジットカード💳がきかない。最悪
店主もお料理も、こだわりが強くてかなり変わっている。
","0","","COUPLES","2022-11-30","2023-05-23","2023-05-23","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r891629196-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"878545321","BF63A1C7CD251C815A2CB3C579F23B04","Vestry","robandgriff33","https://www.tripadvisor.com/Profile/robandgriff33","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg","New York City","No","1","","The Emperor has no clothes","Each course was more disappointing than the last. Nothing appeared to be freshly prepared. Delightful staff couldn’t compensate for the feeling of being held hostage to endless unattractive food. Even the steak was chewy. Sorry.","1","","COUPLES","2023-02-28","2023-02-13","2023-02-13","en","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r878545321-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"862981806","9FC7B53A4968849F9951EDEEA910EBA5","momoirocat","momoirocat","https://www.tripadvisor.com/Profile/momoirocat","https://media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/99/avatar.jpg","Kobe","No","3","","ちょっとね・・・","大将はダジャレ好きで素朴な人柄。でも女将は電話でも何か傲慢さが感じられて、店の印象を悪くしている。超一流店の女将を多く見てきてるだけに比較すると、どうしても私には不愉快な気分が残る。料理は悪くないけど、出汁は飲み干したいというわけでもないし・・。残念です。","4","","NONE","2022-08-31","2022-10-03","2022-10-03","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r862981806-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"802614991","9BEBCE5C82153BA965ABC7B3F457DBBB","fuga250","fuga250","https://www.tripadvisor.com/Profile/fuga250","https://media-cdn.tripadvisor.com/media/photo-s/03/29/64/a1/fuga250.jpg","Zushi","No","5","","割烹の極み","素晴らしい味、大将の秀でたおもてなし、スタッフの気配りなどどれをとっても秀逸です。
まさに料理はエンターテイメントであることを教えていただきました。現在蔓延防止中のため、対策実施、酒類は提供されませんが、それだけが残念な点でした。
お料理では鮎の開きと鹿肉がとても印象的でした。","2","https://media-cdn.tripadvisor.com/media/photo-w/1d/8c/b8/8b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/8c/b8/8a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/1d/8c/b8/89/caption.jpg","COUPLES","2021-08-31","2021-08-08","2021-08-08","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r802614991-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"784871002","36B128BA754CF4EFF7D42158ECBE1CE7","coppn","coppn","https://www.tripadvisor.com/Profile/coppn","https://media-cdn.tripadvisor.com/media/photo-o/12/1a/e9/26/coppn.jpg","Ota","No","5","Value: 3
Service: 4
Food: 5","炭火とかまどから生まれる特別な味","個室でお願いしていましたが、偶然キャンセルが出て、カウンターでいただくことが出来ました。目の前に鎮座している大きな炭火調理台とかまど、そこでテキパキと働く若い衆と大将。料理をいただく前から、期待が膨らみます。次々出される料理は、素材が生かされ、見た目も美しく、素晴らしいものでした。大将の繰り出す話も面白く、堅苦しくなく食事を楽しめました。","2","","NONE","2021-03-31","2021-03-19","2021-03-19","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r784871002-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"752536240","A49B509A9591C9CD4B0136C71BC9357C","T.D.","t0bynd","https://www.tripadvisor.com/Profile/t0bynd","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","","No","1","Value: 1
Service: 1","Wouldn't let me dine because I'm a foreign national ""because you look foreign, others will become nervous during corona""","I speak Japanese and live in Japan. They confirmed they had space in April 2020, but prior to accepting my booking, asked: ""are you gaikokujin (foreigner)?"" 

Upon confirming I was, but that I live in Japan, they responded - shockingly - ""sorry, but we cannot serve you; due to corona, other customers will become nervous and uncomfortable if they see you”. 

I am a mega foodie and eat at a lot of Michelins and other high end spots (at least once a week), mostly in Tokyo but also throughout Japan; not once have I been turned away because of my nationality, including during the Corona outbreak -- until Sojiki Nakahigashi.","7","","NONE","2020-04-30","2020-04-12","2020-04-12","en","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r752536240-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"752525499","94D03C885B118E3E41610AA69D26A6DF","ナナナ","NorthStar5202463","https://www.tripadvisor.com/Profile/NorthStar5202463","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg","","No","4","","若竹煮","京都の草喰なかひがしさんへ訪問。
鯉、若竹煮、岩魚などを食べました。
美味しかったです。
いつものように、にえばなもありました。","0","","COUPLES","2020-04-30","2020-04-12","2020-04-12","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r752525499-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"751963210","EF17BFC6957110C471AA648E3C1E4442","GORUFU","GORUFU","https://www.tripadvisor.com/Profile/GORUFU","https://media-cdn.tripadvisor.com/media/photo-o/19/eb/a0/5a/caption.jpg","","No","4","","食べられる物はありがたくすべて食べ尽くす","ご主人のなかひがしさんが自ら摘んだ草花をありがたく頂くという独特な京料理のお店です。
不謹慎ですが、新型コロナのせいでキャンセルがでで、予約ができました。
席は生憎二階の個室でしたが、予約できただけラッキーなので文句はいえません。
料理が運ばれると、おかみさんか仲居さんが説明してくれますが、口にしたことのないものばかりです。
食事のメインは、めざしとおくどさんで炊いた白米です。ごはんには、スペシャルのたまごかけごはんも頼めます。全て美味しかったです。塩と特製オイルでたべるおこげが絶品です。
仲居さんが気を利かせてくれて、デザートは一階カウンターで食べさせてくれました。ご主人のダジャレと、おくどさんのあるお店の雰囲気も少し楽しめました。","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/37/41/76/photo0jpg.jpg","FAMILY","2020-03-31","2020-03-28","2020-03-28","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r751963210-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"746204873","0CBE6EA208F5A22916613041D405AE2D","BACIXXX","BACIXXX","https://www.tripadvisor.com/Profile/BACIXXX","https://media-cdn.tripadvisor.com/media/photo-s/01/9a/f2/e0/bacixxx.jpg","Hamamatsu","No","5","","もはや劇場!?　世界観が素晴らしい","予約開始時、友達に電話掛けまくってもらい、やっと予約出来た。なかひがしさん。

2月だったので、冬から春に掛けての季節感を、色彩でから食材で、立体的に、歳時記と掛け合わせてました。

ストーリーが何重にも織り込まれていて、更にちょっとダジャレも交えながら。何回笑ったことか。

量は相当たっぷり。

言うまでもない事ですが、めっちゃ美味しいです。

次に行くときには、前夜の夕ご飯抜きます。","2","https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/80/dsc-0219-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/7f/dsc-0208-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/7e/dsc-0205-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/7d/dsc-0204-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/7c/dsc-0203-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/7b/dsc-0201-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/7a/dsc-0200-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/79/dsc-0199-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/78/dsc-0198-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/f2/70/77/dsc-0197-largejpg.jpg","FRIENDS","2020-02-29","2020-02-19","2020-02-19","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r746204873-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"731687022","94D03C885B118E3E41610AA69D26A6DF","ナナナ","NorthStar5202463","https://www.tripadvisor.com/Profile/NorthStar5202463","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg","","No","4","","節分","京都のなかひがしさんへ訪問。
八寸の鬼の金棒を模した塩漬け胡瓜の黒砂糖炊きなどに始まり、節分のお料理でした。
特に、お凌ぎのいなり寿司が美味しかったです。","0","","COUPLES","2019-02-28","2019-12-09","2019-12-09","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r731687022-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
"720367353","47514020C3299F20C1807410EBFF6AA9","相模の虎","Sightseer807990","https://www.tripadvisor.com/Profile/Sightseer807990","https://media-cdn.tripadvisor.com/media/photo-o/19/c6/42/ba/caption.jpg","Yokohama","No","5","","なかひがしワールド全開！","昨年秋の松茸の衝撃から早1年。

いよいよ待ちに待った9月。この日に松茸が出るとか出ないとか…。

期待半分とは言いながらワクワク(・∀・)

でも残念ながら、今年は昨年のように松茸ちゃん(国産)がお椀にいっぱい…ではなく海外のが少しでした（笑）

肝心の料理は大原近郊で栽培している野菜を始め、京都ならではの大徳寺納豆などを味付けに使ったり。一見ヘルシーですが、品数も多めなのでお腹はいっぱいになると思います。

酒は伏見・齋藤酒造の英勲を初め、様々お酒が大将のギャグと共に紹介されますので、行ってからのお楽しみということで（笑）

さて、「草喰」とは云いますが、実際の所は草だけではありません。コースによって追加の魚・肉料理も出てきます。値段の差を簡単に説明すると以下のようなイメージです。

基本＋魚・肉
基本＋魚
基本

ちなみに予約が取りづらいこちらのお店の席ですが、基本的にカウンターは初回・2回目以上で半々ずつになっています。あとは個室が別にあります。

大将を筆頭に気さくな常連さんも多いので、お話好きな方に向いてるかと思います。勿論、静かにモグモグしてても構いません（笑）

一点留意すべきは大将がギャグ好きなので、ご注意下さい（笑）

全ての写真を掲載したかったのですが、10点以上で上げられなかったので、メインのものだけ載せましたので、ご参考までに。","0","https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/5b/photo9jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/5a/photo8jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/59/photo7jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/58/photo6jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/57/photo5jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/56/photo4jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/55/photo3jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/54/photo2jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/53/photo1jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/19/c6/41/52/photo0jpg.jpg","FRIENDS","2019-09-30","2019-10-22","2019-10-22","ja","Soujiki Nakahigashi","1766589","https://www.tripadvisor.com/ShowUserReviews-g298564-d1766589-r720367353-Soujiki_Nakahigashi-Kyoto_Kyoto_Prefecture_Kinki.html"
