"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"593348339","596BF92A2D66929091F2A07A773D63B5","gravellete","gravellete","https://www.tripadvisor.com/Profile/gravellete","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg","Portsmouth","No","4","","Secret garden oasis ","Found by chance and lucky to get a table on a busy sunny day. Service by the young staff was fast and enthusiastic. Menu is limited and the food was good if a bit on the expensive side, but the location was magnificent, with tables tucked away in amongst the garden with view across lavender fields to the Château. ","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/95/62/63/photo1jpg.jpg","COUPLES","2018-07-31","2018-07-05","2018-07-05","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r593348339-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"419137310","747810F4920E719538A818460F191E3E","TibetTrader","TibetTrader","https://www.tripadvisor.com/Profile/TibetTrader","https://media-cdn.tripadvisor.com/media/photo-o/03/a6/d7/f4/tibettrader.jpg","Surrey","No","4","","Delightful oasis - shame it wasn't ""in season""","This Mediterranean garden s owned and maintained by the hotel - and is a lovely oasis just  a few hundred metres form the hotel proper. Super bio-friendly pools and shady nooks....","0","","COUPLES","2016-09-30","2016-09-16","2016-09-16","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r419137310-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"387465862","D0F4DEB92123F4A4A8134F004A8F7539","Chris uk","Chrisuk61","https://www.tripadvisor.com/Profile/Chrisuk61","https://media-cdn.tripadvisor.com/media/photo-o/29/01/6d/05/caption.jpg","Montpellier","No","3","","Not quite the same level as the Bistro....","According to the website ""Le Jardin"" is less formal... Sponsored by IKEA maybe ??? (Glass wear, cutlery etc...) Main dish ""the tuna"" was very nice, but spoiled by a dessert of the day being served in a plastic pot. Come on people, this is Clair de la Plume not Mc D's. Then to top it all, top money for a coffee, served in the brand's own cup. ","1","","COUPLES","2016-06-30","2016-06-29","2016-06-29","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r387465862-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"288810733","877C6EF5FEFA749C2D8C3693524E299C","Barbara C","barbaracA7401UT","https://www.tripadvisor.com/Profile/barbaracA7401UT","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg","","No","5","","Rehearsal Dinner for Daughter's Wedding","This is an outside venue that is run by the hotel and it is just a block away and the food is supplied by Bistro du Clair de Plume!!  You can look up at the castle and over the lavander fields.  The food was excellent and the setting fantastic!!!","1","","NONE","2015-06-30","2015-07-14","2015-07-14","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r288810733-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"266257482","856A8EDF5A4139DF79B507A7EC8830DF","Jean37_2","Jean37_2","https://www.tripadvisor.com/Profile/Jean37_2","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg","","No","1","Value: 1
Service: 1
Food: 2","The worse spot in Provence ?","Bad contact, no way to change a reservation, bad faith => to avoid.
The reservation done through a web site. The welcome was chilly or just lukewarm. The menu proposed a ""Tablier de Sapeur"". It could be good, but depends on the day. No way to change. We had to insist hardly to get finally 2 pieces of salad. Other plates just middling. But don't worry, the price stayed high !
What a shame ! Grignan is a most beautiful place in Provence.
Fortunately, there are other restaurants in this place where you could spend good time with friends or family.","0","","FAMILY","2015-03-31","2015-04-17","2015-04-17","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r266257482-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"220545016","94A6770766826F9CA1634DFADC718853","Lizi6","Lizi6","https://www.tripadvisor.com/Profile/Lizi6","https://media-cdn.tripadvisor.com/media/photo-o/05/c1/cc/96/lizi6.jpg","Dorset","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","Amazing.","Staying in vaison la romaine and decided to take a trip to grignan to visit the night market. We pre booked as we went into the town market. The setting in the gardens are amazing. The food excellent. We were very fortunate to have Jonathan as our waiter again excellent service from this very young and intelligent man. We can't thank him enough. All in all our experience from eating here very memorable. Many thanks to all the staff in making this happen.","1","","FRIENDS","2014-08-31","2014-08-08","2014-08-08","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r220545016-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"216535596","94A318DAB9FF178FF45E747DF6ACF24E","mikekol1973","mikekol1973","https://www.tripadvisor.com/Profile/mikekol1973","https://media-cdn.tripadvisor.com/media/photo-s/02/8d/81/b2/mikekol1973.jpg","Moscow","No","5","","Perfect","Gourmet restaurant with impeccable service! All very well and it was delicious! The refined atmosphere!","0","","FRIENDS","2014-07-31","2014-07-21","2014-07-21","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r216535596-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"182985871","DA5CA8E54C1C7D94D704A2416F767BF0","Bandicoot1314","Bandicoot1314","https://www.tripadvisor.com/Profile/Bandicoot1314","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg","Edinburgh","No","4","Value: 3
Service: 3
Food: 4
Atmosphere: 5","Wonderful at any time of day","We had lunch on a sunny day in September 2013 in the beautiful setting of this hotel's garden restaurant. I would recommend it to everyone who loves good French food and the habit of leisurely meals.

The food was excellent, the menu varied and interesting and the service was good too. The desserts deserve special mention because they are outstanding.","0","","COUPLES","2013-09-30","2013-10-30","2013-10-30","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r182985871-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"179241862","26A7E1B933F4C3E295DF89A62D84F404","Michael C","michaelc520","https://www.tripadvisor.com/Profile/michaelc520","https://media-cdn.tripadvisor.com/media/photo-o/0a/60/df/91/michael-c.jpg","Harrogate","No","4","","Very high standard","Beautiful surroundings for a summer dinner outdoors. Chef really setting a high standard and competing well with Michelin starred rivals. Indoor dining looks inviting for winter period. We will be back. Good wine list. ","1","","COUPLES","2013-08-31","2013-09-30","2013-09-30","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r179241862-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
"174283850","8B38EAC09958A807C8A1A59646817256","John W","johnwT9489WV","https://www.tripadvisor.com/Profile/johnwT9489WV","https://media-cdn.tripadvisor.com/media/photo-o/0b/1c/18/ea/john-w.jpg","Helston","No","4","Value: 3
Service: 4
Food: 4
Atmosphere: 5","Wonderfully Peaceful Lunchtime Retreat","The peaceful garden of Clair de la Plume in Grignan is a very special place for lunch. Sip chilled local Rose wine and enjoy the Provencal salad before climbing through the historic alleyways to visit the castle.","0","","COUPLES","2013-08-31","2013-08-27","2013-08-27","en","Le Jardin Du Clair De La Plume","4519864","https://www.tripadvisor.com/ShowUserReviews-g445033-d4519864-r174283850-Le_Jardin_Du_Clair_De_La_Plume-Grignan_Drome_Auvergne_Rhone_Alpes.html"
