"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"973429262","236B7EB306BB766DE3949765B303FB52","Dawkinsrocks","Dawkinsrocks","https://www.tripadvisor.com/Profile/Dawkinsrocks","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","","No","5","","Is this the best restaurant on earth ?","It is hard to imagine that there is a better restaurant anywhere in the world 

What they do with food is astonishing both in style and flavour 

Each of the tiny courses on the many-coursed tasting menu seems like the most delightful thing you have ever tasted and you marvel at how they did it 

We did the wine pairing which does rack the bill up substantially but it adds a ton of value to the experience with many glassss and in many cases of drinks you would not have tried but find you adore

It’s a four hour gig and is expensive 

Our bill was north of €900 for two and I recognise we are in a fortunate position to afford this but here’s the thing 

It’s worth it","0","","COUPLES","2024-10-31","2024-10-11","2024-10-11","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r973429262-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"925597173","74088C1DD8B145DAC17D2076457CFFA8","Janedoe72","MyWorldTrips_10","https://www.tripadvisor.com/Profile/MyWorldTrips_10","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","Chicago","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","Great Experience","On our North of Spain tour, we were recommended to try this restaurant.  We are glad we did.  Without any doubt, one of the best restaurants we have ever dinned in.  The ""La Gran Experiencia"" really lived up to the name and also was worth the price.

Professional service and very elegant setting. Highly recommended.
","1","","COUPLES","2023-11-30","2023-11-12","2023-11-12","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r925597173-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"903462309","FF53D791956876D5EDFBDDF5E79829E8","MadrugadaTampa","MadrugadaTampa","https://www.tripadvisor.com/Profile/MadrugadaTampa","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg","Columbus","No","5","","Our FAV in Spain! Not to miss!!","Top notch experience! Compared to other Michelin culinary experiences here in Spain, this is our number one! The food is approachable yet very unique and delicious! They showcase local ingredients. We will be dreaming about the whiskey sour back at home! The entire journey was fabulous. The staff was genuine and not stuffy. One of our waitresses, Genesis, gets a special shout out for being so enthusiastic and knowledgeable!","0","https://media-cdn.tripadvisor.com/media/photo-w/29/c4/a1/95/caption.jpg","COUPLES","2023-07-31","2023-07-16","2023-07-16","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r903462309-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"897976185","5A44D9ABBA09006F0C012226E93AD3EC","Charlotte N","283charlotten","https://www.tripadvisor.com/Profile/283charlotten","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg","Chicago Heights","No","5","","Must go!","Must go ! 
Menu was beyond expectations!  It's nothing you've had before. Traditional Spanish food with modern culinary techniques! From the cocktails to the menu. Tried the strawberry vermouth and the whiskey sour made with flowers. 
Appetizers and desserts were by far our fav part of the whole experience! 
Bread is baked in place","0","https://media-cdn.tripadvisor.com/media/photo-w/29/93/69/c9/caption.jpg","FAMILY","2023-06-30","2023-06-25","2023-06-25","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r897976185-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"810127977","9F6EAA3D50126F661768C1B073094BA4","partoow","partoow","https://www.tripadvisor.com/Profile/partoow","https://media-cdn.tripadvisor.com/media/photo-o/25/a7/65/8c/partoow.jpg","Praa Sands","No","5","","Incredible. Beautiful. Bliss","There are no words to describe how amazing the experience of eating here is
Exquisite, seems lame.
The entire experience brings joy.
Do the tasting menu with paired drinks, you won’t be disappointed 
We went as a celebration but for any experience this would be Devine.
Sounds slushy. It isn’t","1","","COUPLES","2021-09-30","2021-09-15","2021-09-15","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r810127977-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"810122826","236B7EB306BB766DE3949765B303FB52","Dawkinsrocks","Dawkinsrocks","https://www.tripadvisor.com/Profile/Dawkinsrocks","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","","No","5","","Too good for mere words","It is hard to find words to describe how wonderful this restaurant is 

You need deep pockets but if you can you should not die without eating here 

The tasting menu and wine pairing are exquisite 

The staff and service unimpeachable 

My partner and I have just got married and this was our own wedding ‘breakfast’ 

It was the best meal either of us have ever had 

To the staff - thank you 

We are the people in the yellow car","2","","COUPLES","2021-09-30","2021-09-15","2021-09-15","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r810122826-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"769123140","DA9ADBC8ED824CAB3E4BEE6466ADF83C","eRS","Itinerante53","https://www.tripadvisor.com/Profile/Itinerante53","https://media-cdn.tripadvisor.com/media/photo-m/1280/23/60/38/01/itinerante53.jpg","","No","5","Value: 5
Service: 5
Food: 5","Not enough room in TA setting to do justice to this great restaurant","Inspiring, well executed food with plenty of local references.
Nice setting and great, congenial service.
What else can you ask for/","1","","NONE","2020-09-30","2020-09-06","2020-09-06","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r769123140-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"761790212","50686F1103B898502FC763622C3AA0FA","Lourdes y Eneko","louyene","https://www.tripadvisor.com/Profile/louyene","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg","","No","5","","A perfect pleasure.","Upon arrival it became clear that the Covid measures are scrupulously carried out as the times demand.
We took the long menu and Jesús Sanchez led us with a ""in crescendo"" thread to the end.
Starting with his appetizers and the pintxos reinterpreted modernizing the classics.
His cocido and a series of dishes with the master's brushstrokes that gently lead you to his work with the bonito, the grouper, the carrot game and his spectacular pigeon.
His dishes are beautiful while he manages to bring out the intense flavour of the products.
The desserts, very suitable after such a banquet, one less sweet and the other to choose between a chocolate enjoyment or a last deconstruction, and the petit fours arrive a last wink to the menu closes it with elegance.
The environment and the staff complete the experience.","0","","COUPLES","2020-07-31","2020-07-27","2020-07-27","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r761790212-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"760027535","FCAECA7A512E3CA38811E8B3C05238E9","Lars & Rebecca","larschristiner","https://www.tripadvisor.com/Profile/larschristiner","https://media-cdn.tripadvisor.com/media/photo-o/08/87/49/fb/lars-christine-r.jpg","","No","5","","Outstanding","This is outstanding.
From the very first welcome in the garden to the finish with sweet and coffee on the terrasse everything was amazing. 
We - of course - loves the food. Traditional and a lot of fantasy. Surprising. Telling stories. Smells and tasting.
The service is very professional, but in the relaxed way. We vere feeling very comfortable. Nice.
We hope to be back.
We have tried other tre star restaurants. Cenador de Amos is absolutely worth the all the recommendations we can give.","1","","COUPLES","2020-07-31","2020-07-14","2020-07-14","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r760027535-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
"727098270","456B62DA7A5F5F02E3D4A9222E1DE701","voyager5017","soha5017","https://www.tripadvisor.com/Profile/soha5017","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg","","No","4","","Superb place. I had not been","Superb place. I had not been in a few years - they have since gained another star by Michelin to make it a 2 star. I was truly surprised and delighted by the creativity and improvements across the board- from the dining space which has been massively upgraded and renovated to the food itself which was truly a delight. The chef was charming when he visited the tables and truly warm. The Sommalier gave us superb recommendations that do not break the bank. A must do on a culinary drive across north Spain for sure. I will not wait as long to be back! ","0","","NONE","2019-11-30","2019-11-17","2019-11-17","en","Cenador de Amós","1752010","https://www.tripadvisor.com/ShowUserReviews-g5562707-d1752010-r727098270-Cenador_de_Amos-Villaverde_de_Pontones_Cantabria.html"
