"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"974670043","3979A5BF6BA22C057F3646E42BEC2DA3","Lorenzo S","lorenzosO2159RC","https://www.tripadvisor.com/Profile/lorenzosO2159RC","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg","","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","WOW!!!","It’s a WOW!!!
The ambience, the service and the food were exceptional. Having gone to many many restaurants around the world, Pearl Morissette is truly a gem. It’s must to those who appreciate the art of cuisine, and service.","0","","COUPLES","2024-10-31","2024-10-20","2024-10-20","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r974670043-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"973893130","F585957B99D293E262A9635D8D8547F0","Susan in Toronto","SusaninToronto","https://www.tripadvisor.com/Profile/SusaninToronto","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg","","No","5","Value: 3
Service: 5
Food: 5
Atmosphere: 5","Beautiful but would not return","Beautiful room on the second floor of a barn like structure.  The meal was excellent - we did the wine pairing as well which was very generous.  While the experience was excellent we will likely not return - did not feel it was worth the money we paid and we would have appreciated more local Ontario items on the menu.  

We were provided with a menu at the end but it would have been better to have it at the beginning so you could refer to it as you were eating - the servers explained each meal but by the time they left the table we had forgotten most of the ingredients.  And the $6 charge for tea left a bad taste given what we had paid for the meal - surely the restaurant can afford to absorb that.","0","","FAMILY","2024-10-31","2024-10-14","2024-10-14","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r973893130-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"972722789","90DB22FF0EE40A927FB093857BC5750B","cctyu68","cctyu68","https://www.tripadvisor.com/Profile/cctyu68","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg","Richmond Hill","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","A memorable and delectable annual Joint Brother-in-law Birthday Bash at a newly crowned Michelin Green & Red Star.","With weather still unseasonably warm and comfortable, it is nice to take advantage and venture outside of the normal GTA core for an occasional chowdown or two.
For me, PM is the only trusted out-of-town, fine dining establishment featuring a tasting menu option that is within reasonable driving distance from home. Most of all, their offering reflects the quintessential in ‘ farm-to-table’ dining, incorporating a total culinary package that is always consistent, assuring and exceptional…..and now the trademark of a double Michelin Red and Green stars recipient!

It has been almost a year since I last drove out to PM and savored the wonderful and ever-changing creative cuisine of PM’s ‘ dynamic duo chefs ‘ - Daniel Hadida and Eric Robertson…….not to mention visiting their flocks of free range chicken and ducks, grass fed cattles and the impressive vegetable and herb garden!

For the past three decades, due to the close proximity of our birthdays, my brother-in-law and I had been holding regular annual, husband-only, joint birthday bashes at different venues all over Ontario and Quebec. Fine dining establishments with tasting menus and wine pairing offerings were our preferred venue options. This year, meeting our primary criteria with ease, we decided to pay PM a long overdue re-visit!
Our luncheon culinary experience started off with a walk around the restaurant complex, a close encounter with some free-run ‘ Silken Chicken ‘ and a sampling of Chardonnay grapes from the 2024 harvest! Very ripe and sweet! IMHO, it could be a very good vintage year!

As in the past, after climbing the challenging ‘32 steps‘ flight of stairs to the spectacular upper level dining room, we were welcomed warmly by both chefs, outside of the open-kitchen. This time, with added significance, since we are shaking hands with Michelin star chefs!

In light of growing health and safety concerns, we have decided to pass on the wine pairing option. In lieu of, we both settled for a glass of their house-special Champagne plus a glass of their very aromatic, 2019 ‘ Irreverance ‘ ( Orange Riesling, Chardonnay & Gewurztraminer ).
The creative dishes of our 12-course ‘Omakase’ tasting menu were visually impressive and relishing. The masterful menu was well thought of and conceived, featuring a balanced and diverse offering of dishes with a focus on seafood and pasture raised fowls and animals. Most dishes feature major components with complex and multidimensional taste profiles, augmented with an interesting array of vegetable sides. The ‘ too beautiful to disturb and eat ‘ artful plating elevated to an even higher level than before. Again, some never before seen or tasted, uncommon ‘organic‘ ingredients adorned our plates ( eg., local ‘Golden’ Strawberries, ‘Autumn’ Petit Pois! )……the advantage of owning a herb/vegetable garden and close proximity to local farms! To reflect their recipient of the Green Star, I was told by the chefs, ALL ingredients used from now on, especially the vegetables, will be organically grown either in-house or locally. The protein, local, organic, wild or free run!

Coupled with impeccable, warm and friendly front-of-house service and care, our near perfect meal was once again foodie and praise worthy. My ONLY very minor and superficial criticism pertains to the slight ‘overhanded‘ use of salt in the delectable sauces of a few dishes….the Lobster, the Cod and the Duck.
No big deal! Part of living in an imperfect world!!

Looking forward to returning for the Fall menu!","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/41/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/42/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/43/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/44/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/45/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/46/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/47/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/48/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/64/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/65/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/b6/76/66/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/82/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/83/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/96/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/97/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/98/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/99/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/9a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/9b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/b9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/ba/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/bb/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/bc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/bd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/be/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/b6/76/bf/caption.jpg","FAMILY","2024-10-31","2024-10-05","2024-10-05","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r972722789-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"972209093","5F52019C05A052F5A2E1EDC5D0EEEF63","XFLYHALF","XFLYHALF","https://www.tripadvisor.com/Profile/XFLYHALF","https://media-cdn.tripadvisor.com/media/photo-o/18/cb/ba/83/caption.jpg","","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","Incredible dining experience!","Incredible dining experience! The farm to table, local sourced menu was wonderful, and the wine pairings pushed the meal off the charts. Informed and attentive staff explained each course and pairing in detail. We enjoyed a quick look around the kitchen and then took an informative, fascinating and thoroughly enjoyable tour of the gardens. We were encouraged to smell and taste many of the amazing herbs, spices and vegetables that are served in the restaurant. An outstanding dining experience that cannot be recommended highly enough. A ""must do!""","0","","FAMILY","2024-09-30","2024-10-01","2024-10-01","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r972209093-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"951652589","99C430389E93621745DB7F85C4746123","Lori K","501russellk","https://www.tripadvisor.com/Profile/501russellk","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg","Toronto","No","3","","Eat before you arrive!","While the food was beautifully prepared and delicious-  the only reason you will not leave hungry will be the 4th course of giant pieces of homemade bread and butter!  Without that, you will likely need to stop and grab a snack:)
1 oz of pork with 2 tiny onions does not a main course make!
Was the pork delicious? You bet.  Was the restaurant lovely- absolutely.  
I firmly believe you can do Michelin star food without being overly pretentious though.- passing off teeny tiny portions for crazy money and a three month wait list… 
One and done!","3","https://media-cdn.tripadvisor.com/media/photo-w/2c/3a/85/cf/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/3a/85/ce/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/3a/85/cd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/3a/85/cc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/3a/85/cb/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/3a/85/ca/caption.jpg","COUPLES","2024-04-30","2024-05-20","2024-05-20","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r951652589-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"934813646","9A36AFB3C39451B26C404D8205EAA48F","mismanagement","mismanagement","https://www.tripadvisor.com/Profile/mismanagement","https://media-cdn.tripadvisor.com/media/photo-s/01/d1/4e/ab/mismanagement.jpg","Toronto","No","4","Value: 4
Service: 5
Food: 4
Atmosphere: 5","Very very good, not quite great","Very tasteful looking restaurant, although could not see the outside as we dined during a winter snow storm.
Service as would be expected excellent, attentive, very knowledgeable staff, professional yet friendly and relaxed. Happy to talk at the table with confidence. Dishes were presented by both chefs and servers, i love to see the kitchen involved in the service, all showed pride and excitement with their food. 
Worth noting no full bar only a limited range of certain spirits... no mixers.
However you go to PM for the food, ranked in Top 5 restaurants in Canada so I had high expectations and as Jools had visited in Summer last year and been blown away, I was expecting something special. Did i get it?? Sorry, not quite. Yes there were 3 or 4 real stand out dishes of the 10 course tasting menu, but it just did not live up to the hype. Was it due to it being winter and the seasonal produce available? 
Look, experience was still very good, just not great.
Stand outs... Bision Tartare, wow, melt in the mouth, lovely flavor.
Nubian Goat, tender, strong flavor.
Rasberry Sobet in Meringue, gapow!! Intense flavor, crispy meringue.

But then course 10, a ""Babka"", a nice Babka but what was it doing at the end of the meal, too heavy, poor menu planning, I'd have left it as a nine course tasting menu.

I'll try again in the summer and hope for a more balanced ""seasonal"" menu.","0","https://media-cdn.tripadvisor.com/media/photo-o/2b/42/e4/e6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2b/42/e4/e9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2b/42/e4/e7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-s/2b/42/e4/f6/caption.jpg","COUPLES","2024-01-31","2024-01-20","2024-01-20","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r934813646-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"920358681","99C66413548605B75C456F3A2A9BC242","dale t","DaleT837","https://www.tripadvisor.com/Profile/DaleT837","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg","","No","2","Value: 1
Service: 5
Food: 2
Atmosphere: 3","Save your hard earned money!","Pre covid we use to frequent this restaurant, it was very good back then!
Advance forward to present day! 
Rated in the top 100 restaurants in Canada the last couple of years, however did they pull that off with the meal we were served!?? Drunk food critiques? Paid off food critiques??
From start to finish we had excellent service! Provided you could hear them or understand them explaining the dishes they served you.
A 10 course meal, I had my friend all hyped up about this new restaurant for her to try……unfortunately I felt embarrassed for bring her there for an evening that was suppose to be a magical food experience but still was an expensive comedy relief for us to enjoy each others company and guess which one of the servers cooked the dish that was being served to us! For it certainly could not possibly been a chef!  Possible a chef with a head cold because there was very little flavour in anything!
The pork dish served was so tough you had a hard time cutting it and then chew chew chew ….
A dish served with “Hogget” what is Hogget you may ask? It is a lamb that is to be between 12-18 months old….my guess it was old enough to vote! It was so tough you could not cut it, and then it came down to chew and swallow , or chew and spit out!
A dish with Geoduck in it ….unfortunately mine had a bit of grit in it, probably sand….flash back of sand box at preschool ….
There was not one dish that you would say OMG that was incredible!
Although I did get my friend to say it by asking her to close her eyes when tasting one of the sauces and said picture campbells cream of mushroom soup, to which she replied OMG the chef must be standing back laughing his ass off at all these people eating this campbells soup! To which we both burst out laughing.
Thank goodness we could laugh because at a price tag of $492 for the two of us , with no alcohol …we needed some humor for the wasted evening!
If you could live on sour dough bread you will make out fine! The bread was the best part of the meal, and had most of the flavour!  Although there was one dish with habanero pepper it was nice to have one kick ass flavour!","5","https://media-cdn.tripadvisor.com/media/photo-w/2a/89/08/26/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2a/89/08/28/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2a/89/08/27/caption.jpg","FRIENDS","2023-10-31","2023-10-08","2023-10-08","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r920358681-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"920261583","E00E43FB544E5172AAECBBA201004ADE","Rita L","A7694NVrital","https://www.tripadvisor.com/Profile/A7694NVrital","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg","","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","Perfect Dining Experience! ","Our experience today was amazing! All the food was beautifully presented and delicious. The wine pairing was perfect and the service is second to none; absolutely the best! ","0","","FAMILY","2023-10-31","2023-10-07","2023-10-07","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r920261583-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"908263252","DBBFF26C2BE2813804738C904611B410","torontotraveller939","torontotraveller939","https://www.tripadvisor.com/Profile/torontotraveller939","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg","Toronto","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","Spectacular Restaurant","Dining at RPM was a unique experience.  The restaurant is housed in what appears to be a barn in the middle of a farm in the wine district of Ontario. The interior has been transformed into a sleek and modern restaurant with views over the farm.  We were served a ten course prix fixe tasting menu which was simply spectacular in terms of taste and presentation with each course carefully explained by the outstanding staff. All of the courses were sourced from their own and neighbouring farms. RPM is very close to a major highway and can easily be accessed. It was truly a remarkable experience and well worth the drive.","0","","COUPLES","2023-07-31","2023-08-06","2023-08-06","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r908263252-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
"906315439","077CB3D6EF5417A7CD371FC148F17415","59canadian","59canadian","https://www.tripadvisor.com/Profile/59canadian","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg","Hamilton","No","5","Value: 4
Service: 5
Food: 5
Atmosphere: 5","WOW","Amazing service, an absolute delight.  The menu was  varied and exquisitly presented.  The flavours amazing and portions, although small were more than satifsying.  We can't wait to visit again in the fall/winter.  The staff is expertly trained, you get many servers and all provide excellent service.  Wine parings are a must.  This is not inexpensive , products are top quality and tastes are out of this world!  Congratulations to all the staff, a job perfectly done!","0","","FAMILY","2023-07-31","2023-07-28","2023-07-28","en","Restaurant Pearl Morissette","13168199","https://www.tripadvisor.com/ShowUserReviews-g562672-d13168199-r906315439-Restaurant_Pearl_Morissette-Jordan_Station_Lincoln_Ontario.html"
